0NumTrajs,1ExplainedVariance,1PolicyExecTime,dLoss,1Perplexity,0AveragePolicyStd,0EnvExecTime,0Entropy,0MaxReturn,1AverageReturn,1NumTrajs,1MaxReturn,1Entropy,0ExplainedVariance,MeanKL,LossAfter,1StdReturn,ItrTime,0StdReturn,0MinReturn,Time,LossBefore,MeanKLBefore,1MinReturn,0Perplexity,0PolicyExecTime,ComputeUpdatedDistTime,1AveragePolicyStd,0ProcessExecTime,1ProcessExecTime,0AverageReturn,1EnvExecTime
400,0.0823434115697,65.10910606384277,0.00260720895603,17.1248,1.0,36.690589904785156,2.83788,7600.0,100.5,400,8100.0,2.84053,0.118169902719,0.00776440789923,-0.0026072091423,547.265703292,196.91995930671692,795.485857825,0.0,196.9199559688568,-1.86264517699e-10,-3.90718679633e-10,0.0,17.0795,11.765049457550049,4.773801326751709,1.00134,1.5864474773406982,2.216278076171875,148.5,63.93975853919983
400,0.208014502724,63.99929404258728,0.00180323320528,17.1218,1.00045,37.48783826828003,2.83877,4900.0,279.5,400,5900.0,2.84035,0.177686860738,0.00908492319286,-0.00180323282257,796.259850802,186.53672122955322,663.419927346,0.0,384.5215229988098,3.82715387159e-10,-6.12344175366e-09,0.0,17.0947,11.426477670669556,0.39837121963500977,1.00126,1.3944191932678223,2.1451492309570312,232.0,62.84847950935364
400,0.181434891567,62.5537223815918,0.00355027086116,16.9848,0.99713,41.827061891555786,2.832,7100.0,596.25,400,10500.0,2.83232,0.187403876464,0.00685308035463,-0.00355027103797,1175.65340875,188.47344827651978,1232.70829883,0.0,573.003288269043,-1.76805764474e-10,-5.2852549004e-09,0.0,16.9794,12.415487051010132,0.32163524627685547,0.997314,1.526479959487915,2.1580018997192383,655.5,60.58939480781555
400,0.220259122911,62.01448130607605,0.00267131066939,16.9604,0.997789,38.649749755859375,2.83318,14000.0,1860.5,400,12100.0,2.83088,0.166589534178,0.00598835479468,-0.00267131091096,2227.72075225,182.4969778060913,2067.02630607,0.0,756.4572970867157,-2.41561798342e-10,4.28407842534e-09,0.0,16.9994,11.631491899490356,0.3268859386444092,0.996668,1.5011205673217773,2.122400999069214,1448.5,59.36859583854675
400,0.132640229646,59.51675462722778,0.00271514927299,16.6541,0.986631,41.04626274108887,2.81071,9500.0,3096.0,400,12600.0,2.81266,0.0657291076124,0.00861734617501,-0.00271514896303,2571.34867336,180.82036447525024,1778.17258724,0.0,937.286440372467,3.09955755506e-10,-9.42961930761e-10,0.0,16.6218,12.231701374053955,0.3754560947418213,0.98759,1.471428632736206,1.8714518547058105,1648.5,57.5577232837677
400,0.171915839519,64.14929151535034,0.00261660888791,16.4536,0.980479,32.70424485206604,2.79824,23200.0,4331.5,400,21800.0,2.80054,0.0550833145616,0.00665764324367,-0.00261660851538,4306.15928061,181.9803454875946,3968.20737235,0.0,1120.1773946285248,3.72529063153e-10,-9.31321686437e-10,0.0,16.4157,10.35877776145935,0.667609453201294,0.981625,1.137619972229004,2.1349942684173584,2519.5,64.04236054420471
400,0.204557011268,63.40120887756348,0.00392791970953,16.4035,0.978184,42.56378102302551,2.79356,22100.0,7189.0,400,25000.0,2.79749,0.068876626917,0.0096995793283,-0.00392791908234,4862.86222301,191.67149662971497,4847.48722923,0.0,1311.8609549999237,6.27187524138e-10,1.3969797541e-10,0.0,16.3391,12.666812181472778,0.3510255813598633,0.980121,1.4196581840515137,1.9723429679870605,4127.25,62.532445669174194
400,0.0586996876035,63.84438180923462,0.00241970769712,16.0465,0.968366,38.36749815940857,2.77347,21700.0,3744.75,400,24400.0,2.77549,0.0488976222371,0.00619062082842,-0.00241970876232,4777.89937499,187.67992615699768,3822.92524613,0.0,1500.3622357845306,-1.06520015031e-09,-4.09781053534e-09,0.0,16.0142,11.800164461135864,0.3485538959503174,0.969356,1.3934338092803955,2.0521347522735596,2314.75,63.12271738052368
400,0.115136909122,58.95106792449951,0.00413570284145,16.2118,0.974267,35.340129375457764,2.78557,28800.0,7020.25,400,36300.0,2.78574,0.0309122844571,0.00756210181862,-0.00413570273668,7780.30943713,171.13787174224854,4154.72851099,0.0,1671.5089876651764,1.04773786869e-10,-8.75443184611e-09,0.0,16.209,11.102647542953491,0.36446428298950195,0.974354,1.3009212017059326,1.8555219173431396,2541.0,55.532569885253906
400,0.130020147027,62.90411686897278,0.00173290950042,16.2676,0.97474,41.1519615650177,2.78658,23500.0,8778.5,400,41000.0,2.78917,0.0556125383682,0.0068383696489,-0.00173290935345,8834.45175152,188.87517261505127,4715.52836382,0.0,1861.1547689437866,1.46974321602e-10,5.42495692812e-09,0.0,16.2254,11.81172800064087,0.34424495697021484,0.976061,1.3900902271270752,1.9848628044128418,4068.5,62.58764457702637
400,0.0704255908177,53.76416516304016,0.00187671247695,16.0723,0.969674,38.64334583282471,2.77609,34100.0,5921.5,400,35900.0,2.7771,0.0379434192813,0.00854927673936,-0.00187671242747,7156.03505791,163.45435428619385,7601.59140822,0.0,2024.6135458946228,4.94764784698e-11,2.39814790248e-09,0.0,16.0562,11.276063680648804,0.3340926170349121,0.970209,1.3915574550628662,1.6059160232543945,5005.75,49.529160261154175
400,0.170956041753,56.670273303985596,0.00416264552332,16.3209,0.975213,46.8135826587677,2.78717,15900.0,4293.75,400,24200.0,2.79245,0.0365425693774,0.00754408771172,-0.00416264496744,5782.59768076,179.18827891349792,2148.56440443,0.0,2204.5583086013794,5.55883172826e-10,5.49480372314e-09,0.0,16.2351,13.848551988601685,0.3277428150177002,0.977806,1.5430924892425537,1.700730323791504,1111.0,51.58179759979248
