AveragePolicyStd,MeanKL,LossBefore,Entropy,StdReturn,Perplexity,ItrTime,TotalExecTime,NumTrajs,Time,MaxKL,AverageReturn,LossAfter,ExplainedVariance,MaxReturn,MinReturn
0.936258,0.00810784,-0.0462402,2.70584,520.190109479,14.9668,24.236331701278687,24.169646739959717,200,754.4631960391998,0.0186433,1448.5,-0.0613983,0.809805743005,2600.0,0.0
0.925461,0.00801807,-0.0554852,2.68272,420.65395517,14.6248,37.01954388618469,36.78477764129639,200,791.4923160076141,0.0183462,1675.5,-0.068975,0.841668691109,2600.0,300.0
0.912704,0.0108036,-0.0617923,2.65497,440.203362095,14.2246,23.461746215820312,23.225776195526123,200,814.9616146087646,0.0262055,1789.0,-0.0786763,0.887548025625,2700.0,0.0
0.898652,0.0158387,-0.0786756,2.62408,346.380931923,13.7918,24.91610288619995,24.668726682662964,200,839.8852431774139,0.0399205,1954.5,-0.0996511,0.917080704575,2600.0,700.0
0.881127,0.0144786,-0.0666867,2.58474,322.536432051,13.2598,25.58388614654541,25.429816961288452,200,865.47656416893,0.0375298,2079.5,-0.0839609,0.94165433606,2800.0,1000.0
0.866547,0.0236487,-0.0624398,2.5514,261.669639049,12.825,25.013638257980347,24.77778649330139,200,890.5122225284576,0.0674782,2223.0,-0.0835165,0.966582846448,2800.0,1500.0
0.853127,0.00943584,-0.0402039,2.52018,241.172137694,12.4308,25.839776754379272,25.54454493522644,200,916.3786377906799,0.0226371,2344.0,-0.0493744,0.974356167334,2900.0,1500.0
0.844614,0.0247556,-0.0568363,2.50007,200.917271532,12.1834,24.907830953598022,24.79845690727234,200,941.2938220500946,0.0738717,2386.5,-0.0751766,0.982507678743,2900.0,1800.0
0.832678,0.012905,-0.0394709,2.47166,218.077394519,11.842,25.450915813446045,25.28127646446228,200,966.7502460479736,0.0348413,2456.5,-0.0491184,0.984646104902,2900.0,1600.0
0.824506,0.0188259,-0.0568905,2.45192,183.966708945,11.6106,24.671661138534546,24.506937265396118,200,991.444287776947,0.0557672,2497.5,-0.0689715,0.985368825801,2900.0,1800.0
0.812859,0.012211,-0.0587346,2.42348,177.873550591,11.285,25.416504383087158,25.315654277801514,200,1016.8653423786163,0.0301438,2531.0,-0.0671024,0.989411604999,2900.0,1900.0
0.801025,0.0185776,-0.0428154,2.39411,151.009933448,10.9584,24.998247861862183,24.77145767211914,200,1041.873835325241,0.0517359,2564.0,-0.05304,0.990365816279,2900.0,1900.0
0.792517,0.00324571,-0.0466668,2.3727,147.390637423,10.7263,25.122436046600342,24.968605041503906,200,1067.0005900859833,0.00795776,2574.0,-0.0504345,0.991729069945,2900.0,2100.0
0.783339,0.00904876,-0.0331209,2.34937,152.950155279,10.4789,24.729564428329468,24.665290594100952,200,1091.736923456192,0.0218538,2592.5,-0.0378762,0.991769145272,2900.0,2000.0
0.776885,0.00803907,-0.0535174,2.33281,128.452325787,10.3068,25.474531650543213,25.274027585983276,200,1117.2349817752838,0.0196003,2600.0,-0.0581812,0.992764748873,3000.0,2100.0
0.766593,0.0221206,-0.0507511,2.30605,155.015321823,10.0347,24.9354305267334,24.766928911209106,200,1142.1749935150146,0.0695731,2620.5,-0.0599278,0.99191882472,3000.0,2200.0
0.75693,0.00122887,-0.021764,2.28067,131.254523732,9.78326,25.17974853515625,25.052406549453735,200,1167.3615550994873,0.00277585,2633.5,-0.0234361,0.993443781353,3000.0,2200.0
0.752788,0.0115122,-0.0555059,2.26979,132.92761188,9.67737,22.26905918121338,22.188764333724976,200,1189.6336023807526,0.0336727,2644.5,-0.0610593,0.99370875552,2900.0,2300.0
0.74241,0.00183814,-0.0232814,2.24204,137.74977314,9.4125,22.62997317314148,22.568840742111206,200,1212.281423330307,0.00226271,2635.0,-0.0251068,0.993873051779,2900.0,2200.0
0.738084,0.0185188,-0.0298553,2.2304,128.26145173,9.30356,22.756144285202026,22.695809364318848,200,1235.0427136421204,0.061646,2657.0,-0.0360127,0.994132871192,3000.0,2200.0
0.732606,0.000791192,-0.00767219,2.21547,122.105487182,9.16571,22.238251447677612,22.11127734184265,200,1257.2953207492828,0.00385329,2659.5,-0.00825215,0.994612538662,2900.0,2200.0
