1MaxReturn,0Perplexity,1StdReturn,LossBefore,1ProcessExecTime,1ExplainedVariance,0AverageReturn,1MinReturn,1PolicyExecTime,0EnvExecTime,1EnvExecTime,0MinReturn,MeanKLBefore,MeanKL,0ExplainedVariance,1AverageReturn,dLoss,1Perplexity,0AveragePolicyStd,0MaxReturn,LossAfter,ComputeUpdatedDistTime,Time,0StdReturn,0PolicyExecTime,ItrTime,0Entropy,1Entropy,0NumTrajs,0ProcessExecTime,1NumTrajs,1AveragePolicyStd
5000.0,17.0794,321.399673304,-8.73114913702e-11,5.88994574546814,0.0469103433046,21.85,0.0,236.64154505729675,150.64141702651978,146.6514494419098,0.0,-6.11182715549e-10,0.00814410485327,0.0267460526224,36.5,0.00211122576729,17.1064,1.0,4700.0,-0.00211122585461,0.9612698554992676,715.571191072464,250.973260528,145.07725429534912,715.5711944103241,2.83788,2.83945,2000,6.277774095535278,2000,1.00079
16300.0,17.0508,1187.74070297,-4.36557456851e-11,6.545822858810425,0.127809271765,113.85,0.0,297.44055676460266,156.93200302124023,160.09658670425415,0.0,-3.49245965481e-09,0.00679797260091,0.0795187375368,190.15,0.00129566605028,17.0551,0.999161,13500.0,-0.00129566609394,0.2684798240661621,1562.9224219322205,886.083053387,192.02859497070312,842.9265670776367,2.8362,2.83645,2000,6.5600504875183105,2000,0.999289
16700.0,16.7373,1387.7856859,-6.03904481977e-10,6.784986257553101,0.110997043551,176.7,0.0,295.9837486743927,159.28929901123047,161.12930130958557,0.0,-3.14321035866e-09,0.00750943506137,0.084278001968,253.3,0.00157819744345,16.7808,0.989934,17800.0,-0.00157819804735,0.26769256591796875,2431.6744661331177,1252.83562769,210.52627158164978,864.0987710952759,2.81764,2.82023,2000,6.7786219120025635,2000,0.991219
20100.0,16.8226,2786.36670909,1.2805685401e-09,6.491263389587402,0.165760345168,584.6,0.0,316.0902290344238,158.15627074241638,163.53192853927612,0.0,1.28056631965e-09,0.00664016930386,0.114723694394,786.75,0.00160521862563,16.8269,0.992452,19500.0,-0.00160521734506,0.2530789375305176,3322.5674047470093,2361.48106916,211.2065041065216,886.0403695106506,2.82272,2.82298,2000,6.615875720977783,2000,0.992578
21700.0,16.662,4736.88920047,1.0768417269e-09,6.440607070922852,0.194033008394,1226.1,0.0,307.059743642807,160.33169889450073,162.568829536438,0.0,-1.16417250839e-10,0.00803406722844,0.119720054777,1854.55,0.0016475423763,16.6515,0.987708,20000.0,-0.00164754129946,0.2572352886199951,4216.310760498047,3705.12871436,222.90238666534424,889.349903345108,2.81313,2.8125,2000,6.50610089302063,2000,0.987397
22100.0,16.1934,6505.39425323,1.01863406599e-10,6.374727010726929,0.135428038267,2328.85,0.0,304.5151193141937,161.0419361591339,162.677485704422,0.0,-9.31319465991e-10,0.0098472898826,0.0927123291628,3191.9,0.00163273791259,16.1413,0.973724,21900.0,-0.00163273781072,0.2558743953704834,5108.0160920619965,5518.71929686,222.55054640769958,887.2132663726807,2.78461,2.78138,2000,6.480732440948486,2000,0.972151
22800.0,16.0843,7800.46005679,-3.41970007867e-10,6.353461265563965,0.101033858389,3572.95,0.0,305.41894149780273,162.1361780166626,163.42487406730652,0.0,2.32830332791e-09,0.0099117718637,0.0723543110587,4456.55,0.000794828993094,16.0335,0.970461,22100.0,-0.000794829335064,0.24979901313781738,6003.4904108047485,6974.53462946,222.95354080200195,890.7693755626678,2.77785,2.77468,2000,6.529907464981079,2000,0.968925
22500.0,16.0169,7664.04004687,-2.44472175837e-09,6.388617515563965,0.0920967544016,2952.0,0.0,304.53388810157776,161.98885464668274,163.70720267295837,0.0,-1.86264115243e-09,0.00909823179245,0.0537702693487,4400.4,0.00221298274118,15.9834,0.968421,21600.0,-0.00221298518591,0.25325560569763184,6898.2152235507965,5828.97984213,222.95831823349,889.6333734989166,2.77365,2.77155,2000,6.572371006011963,2000,0.967406
23000.0,15.8652,8525.14265218,-3.20142135024e-10,6.438644170761108,0.127446230306,2972.1,0.0,304.88327836990356,162.22044825553894,163.95790433883667,0.0,1.28369537222e-15,0.006632049568,0.0489173870004,5182.6,0.00123003908084,15.8293,0.963822,22600.0,-0.00123003940098,0.24986791610717773,7793.585379600525,5787.32680864,222.80996108055115,890.6481473445892,2.76413,2.76186,2000,6.546417236328125,2000,0.96273
23100.0,15.9072,8827.17210082,-3.20142135024e-10,6.405346632003784,0.125976617521,3472.75,0.0,304.63685750961304,162.776957988739,164.61833786964417,0.0,1.3969931878e-09,0.00660958793014,0.054898234356,5725.45,0.00201184829348,15.8446,0.965088,23000.0,-0.00201184861362,0.2533857822418213,8691.8365483284,6547.61960085,224.44539189338684,893.2280189990997,2.76677,2.76283,2000,6.566762685775757,2000,0.963185
23300.0,15.6681,9313.13980943,-1.09866959974e-09,6.346625566482544,0.134011448567,3318.05,0.0,304.7384467124939,163.23851037025452,164.16881036758423,0.0,-3.16649959586e-08,0.00656666094437,0.0482245447608,6438.3,0.00169115007884,15.6215,0.957838,22300.0,-0.00169115117751,0.2518336772918701,9589.822261810303,6311.03313234,224.5808141231537,893.289647102356,2.75163,2.74865,2000,6.488804817199707,2000,0.956411
23600.0,15.28,9611.47407217,1.13504938781e-09,6.394386291503906,0.13170989167,3683.05,0.0,304.8760070800781,161.96630668640137,164.43318796157837,0.0,-9.31320076614e-10,0.00803995784372,0.0448721717385,7179.6,0.0016924382362,15.2452,0.945954,23000.0,-0.00169243710116,0.2434685230255127,10488.004697322845,6715.7000899,224.92927289009094,892.7894144058228,2.72655,2.72426,2000,6.46403431892395,2000,0.944866
23500.0,14.826,9706.43512818,-2.54658516496e-10,6.410587549209595,0.179506046184,3583.55,0.0,303.64914560317993,162.26982188224792,164.4267988204956,0.0,-1.86264226265e-09,0.00799774006009,0.0464321748241,7801.45,0.00193618515186,14.7631,0.931725,22900.0,-0.00193618540652,0.24127435684204102,11385.348358631134,6590.84398218,225.65975427627563,892.6580257415771,2.69638,2.69213,2000,6.532780170440674,2000,0.929745
