StdReturn,NumTrajs,MeanKL,ExplainedVariance,TotalExecTime,MaxReturn,LossAfter,Time,Entropy,AveragePolicyStd,MaxKL,LossBefore,MinReturn,AverageReturn,Perplexity,ItrTime
518.145732396,20,0.563032,0.573045220663,12.023167848587036,2000.0,-0.100856,12.11283016204834,2.64941,0.917354,7.86517,-0.0174481,0.0,845.0,14.1457,12.112835884094238
771.281401306,20,0.0811576,0.287435016078,11.669804096221924,2300.0,-0.0282289,23.991225481033325,2.63197,0.909243,0.754149,0.00128958,0.0,425.0,13.9011,11.870839834213257
696.329663306,20,0.00617993,0.626725346443,11.637594938278198,2800.0,-0.0011853,35.67140007019043,2.63261,0.909471,0.0682401,0.00378274,0.0,1275.0,13.91,11.675778865814209
749.599893276,20,0.0150324,0.45630965541,10.976558685302734,2400.0,0.00234863,46.770994901657104,2.6345,0.910779,0.167503,0.0163985,0.0,690.0,13.9364,11.086332082748413
328.024389337,20,0.00327114,0.80397920692,11.340271949768066,2300.0,-0.00809794,58.155426025390625,2.6427,0.914118,0.0447594,-0.0044133,900.0,1220.0,14.0511,11.379130363464355
376.828873628,20,0.0202959,0.758543833283,11.443983316421509,2000.0,-0.00687116,69.69097375869751,2.6405,0.913437,0.24015,-0.000679748,0.0,1100.0,14.0201,11.516685009002686
406.540280907,20,0.0566243,0.791718950557,11.757582902908325,1500.0,-0.0242193,81.50227427482605,2.64016,0.913281,0.628567,0.000706241,0.0,1115.0,14.0154,11.795110940933228
