Entropy,NumTrajs,AverageReturn,AveragePolicyStd,StdReturn,ItrTime,ExplainedVariance,MaxReturn,LossBefore,MeanKL,TotalExecTime,MinReturn,MaxKL,Time,Perplexity,LossAfter
1.73658,40,25.0,0.58088,88.7411967465,6.385798692703247,0.054141596712,400.0,0.0127868,0.326705,6.270838737487793,0.0,2.88171,6.3857927322387695,5.67789,-0.0516282
1.74937,40,285.0,0.584486,163.63068172,6.998056888580322,0.597719810249,800.0,0.00592447,0.0396014,6.954777479171753,0.0,0.364065,13.389862060546875,5.75096,-0.0149268
1.75233,40,475.0,0.58542,193.326149292,6.0639472007751465,0.70496025141,1000.0,0.0168406,0.166767,5.97897481918335,100.0,0.653889,19.456273555755615,5.76802,-0.0381034
1.76075,40,777.5,0.588283,297.058495923,5.964613914489746,0.608372353588,1400.0,0.0190491,0.120077,5.906124114990234,0.0,0.4999,25.42621898651123,5.81679,-0.0229045
1.77027,40,2070.0,0.591516,541.387107346,5.911020040512085,0.636076183341,3200.0,-0.0162733,0.199143,5.846722841262817,1100.0,0.471391,31.353075742721558,5.87246,-0.0806177
1.76214,40,4965.0,0.589173,750.183310931,6.874983787536621,0.829739733202,6500.0,-0.0215565,0.247879,6.823238372802734,2900.0,0.970249,38.245530128479004,5.82487,-0.0990971
1.75136,40,7140.0,0.586021,361.801050303,5.930431842803955,0.977393831864,7700.0,-0.0472777,0.170323,5.848900318145752,6300.0,0.630785,44.18628764152527,5.76242,-0.0966377
