AverageReturn,Time,MaxKL,Entropy,AveragePolicyStd,MeanKL,Perplexity,MinReturn,LossBefore,NumTrajs,ExplainedVariance,LossAfter,ItrTime,TotalExecTime,StdReturn,MaxReturn
20.0,13.033204555511475,0.426876,2.83651,0.999438,0.00508851,17.0561,0.0,-0.00593403,20,0.0728382295223,-0.00737257,13.033211946487427,12.86647367477417,87.1779788708,400.0
15.0,25.11560320854187,2.9162,2.83058,0.99648,0.0190032,16.9552,0.0,0.0047808,20,0.0772345182991,0.00334037,12.04464054107666,11.808260202407837,65.3834841531,300.0
20.0,35.984683990478516,695.268,2.83297,0.997651,6.17876,16.9958,0.0,0.012665,20,0.139116434581,1.40311,10.862546443939209,10.814669370651245,67.8232998313,300.0
35.0,48.61688470840454,0.33206,2.8393,1.00083,0.00179465,17.1038,0.0,-0.0246867,20,0.0355136378334,-0.025872,12.6273775100708,12.577765464782715,152.561463024,700.0
85.0,61.3216917514801,9.05252,2.82696,0.994795,0.0848923,16.894,0.0,0.0197839,20,0.243509525801,0.0316151,12.69486689567566,12.647854089736938,292.018835009,1300.0
165.0,73.06678557395935,3.42561,2.83685,0.999827,0.0271532,17.0619,0.0,0.00794374,20,0.121693972386,0.00341196,11.735851049423218,11.693931818008423,479.869774001,2100.0
95.0,84.57473802566528,2.14103,2.84082,1.00182,0.0156198,17.1298,0.0,-0.00998194,20,0.0756817586317,-0.0115531,11.497444152832031,11.459692001342773,391.758854399,1800.0
