ItrTime,0AveragePolicyStd,0ProcessExecTime,1ProcessExecTime,1AveragePolicyStd,LossBefore,0MinReturn,0ExplainedVariance,1MinReturn,0MaxReturn,1EnvExecTime,0Perplexity,ComputeUpdatedDistTime,MeanKL,dLoss,1PolicyExecTime,1AverageReturn,0StdReturn,0Entropy,MeanKLBefore,1MaxReturn,1Perplexity,0AverageReturn,1StdReturn,0EnvExecTime,1Entropy,Time,LossAfter,1NumTrajs,1ExplainedVariance,0PolicyExecTime,0NumTrajs
76.35348987579346,1.0,0.31434202194213867,0.3557286262512207,1.00182,5.12227427141e-10,0.0,0.0229639809492,0.0,1000.0,28.945541620254517,17.0795,4.632058382034302,0.00678436923772,0.00628080037422,11.303464889526367,52.75,78.382077033,2.83788,-2.47673570541e-09,1800.0,17.1403,12.5,197.718075805,22.33728551864624,2.84143,76.35348176956177,-0.006280799862,400,0.0620844379617,2.028327465057373,400
66.55963659286499,1.00125,0.329500675201416,0.3368995189666748,1.00492,8.42555913927e-10,0.0,0.0267275837348,0.0,1200.0,27.463666439056396,17.1221,0.30438852310180664,0.00665922183543,0.00765760327195,11.480397462844849,40.25,107.039420309,2.84037,-1.76951298059e-09,1300.0,17.2445,22.75,130.594553868,22.03792381286621,2.8475,143.72515034675598,-0.00765760242939,400,0.0350002969754,1.9467368125915527,400
70.04619884490967,1.01044,0.39360833168029785,0.35689711570739746,1.0125,-2.30502328336e-09,0.0,0.0260211678672,0.0,800.0,26.849327087402344,17.4375,0.30286192893981934,0.00720354728401,0.00778597595636,11.238590240478516,129.25,91.6501500272,2.85862,1.2689269635e-09,3300.0,17.5057,24.5,400.898288223,26.09226417541504,2.86253,213.7763397693634,-0.00778597826138,400,0.091615677419,2.088400363922119,400
69.79679656028748,1.01632,0.31228137016296387,0.3732287883758545,1.01607,-1.16415321827e-09,0.0,0.0289532970004,0.0,1200.0,30.895277738571167,17.6413,0.302048921585083,0.0069367364049,0.00636479514651,12.001817464828491,74.25,107.971060938,2.87024,1.35041722249e-09,1100.0,17.631,31.5,152.518646401,21.32423686981201,2.86966,284.240092754364,-0.00636479631066,400,0.0638683597678,1.8481018543243408,400
74.89537739753723,1.01969,0.34558606147766113,0.3859272003173828,1.02191,-2.67755290162e-10,0.0,0.0291920404761,0.0,1200.0,33.418622970581055,17.7587,0.34146595001220703,0.0096807135269,0.00749745286303,12.296653985977173,132.25,132.097501869,2.87688,-6.05359540273e-10,2000.0,17.8336,50.5,261.21817988,23.4176287651062,2.88108,359.14053654670715,-0.00749745313078,400,0.0704252711665,1.8447802066802979,400
71.18155407905579,1.01821,0.279346227645874,0.36138391494750977,1.01771,8.96397955863e-10,0.0,0.0330494664857,0.0,1000.0,32.03666138648987,17.7071,0.3176000118255615,0.006457968615,0.00542652091244,11.892929553985596,166.75,141.947173272,2.87397,8.38190183927e-10,3400.0,17.6882,51.0,396.319867657,21.82709527015686,2.8729,431.1107943058014,-0.00542652001604,400,0.0673160714859,1.7528693675994873,400
69.67668414115906,1.02015,0.31196117401123047,0.3171119689941406,1.01777,-7.15954240338e-10,0.0,0.0587950127264,0.0,1300.0,28.758497714996338,17.7747,0.299454927444458,0.00661248574033,0.00607667745207,11.510244607925415,311.75,212.094318641,2.87778,-4.65662369775e-11,4600.0,17.6895,104.0,595.47202915,24.10691237449646,2.87297,500.7922692298889,-0.00607667816803,400,0.0983595482616,1.7649619579315186,400
69.32628464698792,1.02866,0.34550952911376953,0.32297563552856445,1.03075,-1.92085281014e-09,0.0,0.0411601065065,0.0,700.0,27.416362762451172,18.0722,0.31800198554992676,0.00786630064249,0.00528439407935,10.952604293823242,129.0,121.217779224,2.89437,3.72529118664e-10,1900.0,18.1437,57.5,265.911639459,25.494722366333008,2.89832,570.97336769104,-0.00528439600021,400,0.0734433421715,1.8067243099212646,400
71.53555464744568,1.03168,0.3463759422302246,0.33278441429138184,1.03344,-3.08209568978e-09,0.0,0.0419343279628,0.0,1600.0,28.20818519592285,18.1784,0.3062915802001953,0.00848599150777,0.00619391183427,11.482463121414185,134.75,163.682428807,2.90024,5.02914154765e-09,1200.0,18.2373,81.75,230.472205483,26.00939440727234,2.90347,642.5145149230957,-0.00619391491637,400,0.0913043218147,2.111100912094116,400
71.68477964401245,1.02389,0.33399367332458496,0.3242473602294922,1.02707,7.68341168467e-10,0.0,0.040892082916,0.0,1100.0,28.531471252441406,17.9053,0.31997156143188477,0.00910336244851,0.00690168126021,11.335240840911865,201.75,166.66564583,2.8851,7.5902804042e-09,3600.0,18.0148,82.75,434.8240305,26.413832902908325,2.8912,714.8185064792633,-0.00690168049186,400,0.0623564672517,1.7917759418487549,400
71.85943841934204,1.02355,0.30735063552856445,0.32203030586242676,1.02487,-5.58793566974e-10,0.0,0.0387018293635,0.0,1300.0,29.99805784225464,17.8935,0.2894866466522217,0.00970648601651,0.00592274162918,11.704800128936768,142.0,180.450651149,2.88444,1.81607917593e-09,1500.0,17.9365,87.25,237.667835434,24.65743112564087,2.88684,786.6861808300018,-0.00592274218798,400,0.0933029441953,2.021087884902954,400
71.20969486236572,1.02182,0.3135044574737549,0.3184397220611572,1.01967,-2.6309863177e-09,0.0,0.0362509190284,0.0,800.0,28.273086309432983,17.8315,0.33747339248657227,0.00674206903204,0.0033846943872,11.160124063491821,121.75,141.100806164,2.88097,7.68341390511e-10,1900.0,17.755,73.25,230.004211918,26.335355520248413,2.87667,858.5969135761261,-0.00338469701819,400,0.065337928162,1.8043828010559082,400
