0MaxReturn,0ExplainedVariance,LossBefore,0Entropy,1Perplexity,1ProcessExecTime,0AverageReturn,1MaxReturn,0ProcessExecTime,LossAfter,0Perplexity,0EnvExecTime,1Entropy,0MinReturn,1StdReturn,1ExplainedVariance,1NumTrajs,ComputeUpdatedDistTime,1MinReturn,dLoss,ItrTime,1EnvExecTime,0NumTrajs,1PolicyExecTime,0StdReturn,MeanKLBefore,1AveragePolicyStd,0PolicyExecTime,MeanKL,1AverageReturn,Time,0AveragePolicyStd
11600.0,0.0563382045065,1.09139364213e-09,2.83788,17.0792,10.658363342285156,100.9,10100.0,11.881865739822388,-0.00230912351981,17.0794,258.44433188438416,2.83786,0.0,694.27183257,0.0480612947508,2000,1.9092366695404053,0.0,0.0023091246112,1551.420816898346,243.2282702922821,2000,591.8740286827087,671.691290698,3.7907734729e-09,0.999996,398.7984719276428,0.00679625244811,107.85,1551.4208114147186,1.0
17600.0,0.0825765987899,-3.41970007867e-10,2.84952,17.262,6.435336351394653,393.35,15500.0,6.865227937698364,-0.00164807087276,17.2795,161.3805685043335,2.84851,0.0,2053.30408793,0.124682905508,2000,0.2560575008392334,0.0,0.00164807053079,873.5136108398438,153.79611349105835,2000,292.89540100097656,1578.17324065,2.56114041086e-09,1.00533,228.4784128665924,0.00735831959173,578.85,2430.0666098594666,1.00584
16400.0,0.106055277784,-9.16770659387e-10,2.82603,16.8639,6.488955020904541,681.45,18100.0,6.718667030334473,-0.00129012437537,16.8783,155.69525122642517,2.82517,0.0,3103.52860427,0.146316610436,2000,0.25055837631225586,0.0,0.0012901234586,843.5592579841614,154.18600797653198,2000,289.0720021724701,2346.29301186,-4.65661065263e-10,0.9937,195.83546376228333,0.00699990289286,1050.45,3278.021467924118,0.99412
19100.0,0.0916648530039,4.80213202536e-10,2.81595,16.6684,6.546488046646118,1378.8,21200.0,6.628734350204468,-0.00221923366189,16.7091,154.23108220100403,2.81351,0.0,4541.27170267,0.139416933048,2000,0.26305603981018066,0.0,0.0022192341421,823.0750024318695,154.56084752082825,2000,295.9711208343506,3256.34312688,-8.2654922906e-09,0.9879,182.01409029960632,0.0080740172416,2251.15,4105.656434297562,0.989104
20100.0,0.0714814935102,-6.2573235482e-10,2.78616,16.185,6.647673606872559,1840.35,21800.0,6.664613485336304,-0.00185685232282,16.2187,154.37265634536743,2.78409,0.0,6624.24119409,0.175863632597,2000,0.24522995948791504,0.0,0.00185685169708,825.5701358318329,155.28590273857117,2000,297.0971415042877,3935.5999387,-1.39698141943e-09,0.973465,182.15067529678345,0.00658970046788,3913.55,4936.178084373474,0.974474
20100.0,0.0838235858325,-5.52972778678e-10,2.7715,15.9609,6.608986854553223,1743.9,22000.0,6.740893363952637,-0.00308270496316,15.9826,154.03894209861755,2.77014,0.0,7134.02644357,0.230100923933,2000,0.24002456665039062,0.0,0.00308270441019,823.5024704933167,155.04293847084045,2000,295.59874844551086,4130.94453969,1.8626444831e-09,0.966714,182.1795470714569,0.00696284975857,4972.95,5764.272879362106,0.96737
20700.0,0.0882037083651,-4.0017766878e-10,2.76559,15.8543,6.708030939102173,2111.25,22700.0,6.789422512054443,-0.00227948231623,15.8885,155.09413814544678,2.76344,0.0,8574.11030005,0.297576509595,2000,0.26651954650878906,0.0,0.00227948191605,833.8378901481628,156.46146774291992,2000,300.4794080257416,4628.93815443,-8.38189428976e-09,0.963479,184.72302556037903,0.00745866307989,6717.25,6602.897288322449,0.964515
20800.0,0.075763410035,1.45519152284e-10,2.75177,15.6274,7.02989649772644,2198.0,23600.0,6.910578727722168,-0.00236945785582,15.6704,156.77340245246887,2.74902,0.0,9619.94269409,0.353332621307,2000,0.25557994842529297,0.0,0.00236945800134,884.9597046375275,163.64613604545593,2000,336.4954948425293,4681.25795059,4.65661154081e-09,0.956579,190.15036010742188,0.0065559274517,8142.75,7493.165639877319,0.957887
21800.0,0.0719178411632,2.91038304567e-11,2.72296,15.2207,6.65113091468811,2024.9,23500.0,7.168935298919678,-0.00202940078452,15.2253,162.08089399337769,2.72265,0.0,10281.0200174,0.386799837903,2000,0.2674098014831543,0.0,0.00202940081363,906.7012493610382,162.50923323631287,2000,331.97984790802,4315.72125953,-9.31321186837e-10,0.944052,211.93695616722107,0.00725047802553,9401.55,8404.847029209137,0.94419
21000.0,0.0726225041496,-4.80213202536e-10,2.69693,14.8214,6.579647064208984,1887.7,23300.0,6.700592041015625,-0.00358323240653,14.8342,160.879953622818,2.69607,0.0,10389.5529306,0.406978715512,2000,0.2604560852050781,0.0,0.00358323192631,908.4854192733765,162.88822603225708,2000,335.31228828430176,4132.46883957,-1.86264281776e-09,0.931568,211.8765208721161,0.00766291376203,9873.45,9318.196770906448,0.931971
19700.0,0.0835723927172,3.34694050252e-10,2.67676,14.5341,6.6136314868927,1023.8,23400.0,6.564300537109375,-0.00340553373098,14.5379,160.18593549728394,2.6765,0.0,10603.6550103,0.478864954985,2000,0.2608985900878906,0.0,0.00340553406568,903.5696957111359,162.34781432151794,2000,334.3144073486328,2862.34406737,1.86264337287e-08,0.922484,209.2608664035797,0.00739037524909,10038.15,10226.29820227623,0.922601
16600.0,0.0890406577996,-5.42058842257e-10,2.66772,14.4149,6.729466438293457,1184.5,23300.0,6.738147020339966,-0.00578903686255,14.4071,161.21906566619873,2.66826,0.0,9965.51538745,0.453565634938,2000,0.247467041015625,0.0,0.00578903632049,908.1645786762238,163.6955485343933,2000,330.49844121932983,2939.79756956,-7.07767178199e-16,0.918694,215.23395466804504,0.00924912840128,9451.75,11139.497546672821,0.918449
