AveragePolicyStd,MinReturn,MaxKL,Entropy,ExplainedVariance,AverageReturn,LossBefore,MeanKL,StdReturn,NumTrajs,Perplexity,MaxReturn,Time,ItrTime,TotalExecTime,LossAfter
0.648256,2400.0,1.25485,1.97077,0.994711871793,2683.5,-0.00519067,0.19837,114.357990538,200,7.17623,3000.0,764.1095640659332,25.32638120651245,25.16208243370056,-0.0175912
0.6474,2400.0,0.675249,1.96818,0.995191747532,2679.5,-0.00204139,0.107207,109.680216995,200,7.15762,3000.0,789.6792812347412,25.56445860862732,25.5030734539032,-0.0126538
0.647052,2300.0,1.38925,1.96716,0.993650766135,2667.5,0.0140181,0.148299,128.81673028,200,7.15032,3000.0,816.1462347507477,26.45999503135681,26.32028079032898,0.00240412
0.649319,2200.0,1.59781,1.97417,0.995475612744,2686.0,0.000945792,0.231301,113.595774569,200,7.20062,3000.0,841.5593817234039,25.40676522254944,25.16854739189148,-0.0129563
0.649482,2300.0,0.204801,1.97464,0.994802390443,2675.0,-0.0147464,0.0232821,116.511801977,200,7.20402,3000.0,868.7079031467438,27.145458459854126,26.866726398468018,-0.0172169
0.647121,2400.0,0.625451,1.96727,0.99529621747,2690.5,0.00465167,0.0902981,112.070290443,200,7.1511,3000.0,895.0279021263123,26.31483221054077,26.12962818145752,-0.00346439
0.647881,2400.0,0.951397,1.96959,0.99500727323,2663.5,-0.0110286,0.065611,114.96847394,200,7.16775,3000.0,920.995685338974,25.957646131515503,25.886679887771606,-0.0178484
0.646103,2300.0,1.45245,1.96408,0.994418450757,2687.5,0.00229824,0.212447,123.66790206,200,7.12833,2900.0,947.0006499290466,25.998014211654663,25.842907428741455,-0.0159825
0.646493,2300.0,0.840337,1.96523,0.994280478219,2664.0,-0.00119158,0.169857,131.164019457,200,7.13653,2900.0,972.6137013435364,25.586007356643677,25.326865196228027,-0.0120129
0.646294,2400.0,1.69551,1.96463,0.994849808127,2671.0,0.00350882,0.205336,108.438922901,200,7.13228,3000.0,998.6397659778595,26.009406805038452,25.857609272003174,-0.0168178
0.646862,2400.0,0.94612,1.96639,0.995562682724,2684.5,-0.00266651,0.0937927,114.060291075,200,7.1448,3000.0,1024.9290952682495,26.274166345596313,26.200202226638794,-0.0100667
0.646467,2400.0,4.20538,1.96505,0.99517768602,2682.5,0.00460375,0.460778,112.888219049,200,7.13528,2900.0,1049.666085243225,24.73092818260193,24.504807949066162,-0.0220873
0.64725,2300.0,0.19409,1.96735,0.99423686461,2679.5,0.00925483,0.0263142,119.288515793,200,7.15173,2900.0,1074.1684868335724,24.48506236076355,24.291125297546387,0.00573751
0.64868,2400.0,0.990307,1.97198,0.994876281209,2689.5,0.0125249,0.190347,119.748695191,200,7.1849,3000.0,1099.7858626842499,25.610833406448364,25.402830362319946,0.000957016
0.650728,2400.0,1.03966,1.97824,0.995535726226,2680.5,-0.00582794,0.0968059,105.687037994,200,7.23004,3000.0,1125.521726846695,25.703702926635742,25.533891439437866,-0.0211574
0.649748,2300.0,1.28439,1.97533,0.994796460995,2688.0,-0.000459278,0.194695,125.92060991,200,7.209,3000.0,1151.2920608520508,25.756556510925293,25.529656410217285,-0.0117226
0.649665,2400.0,0.21596,1.9751,0.995483818244,2688.5,-0.00584714,0.0245854,106.853872181,200,7.20734,2900.0,1175.194989681244,23.891082286834717,23.695249319076538,-0.00943766
0.648687,2300.0,0.582825,1.97218,0.99465755734,2678.0,-0.00518576,0.0839738,122.947143114,200,7.1863,3000.0,1201.1904163360596,25.99051594734192,25.781837224960327,-0.0140568
0.647891,2400.0,0.188329,1.96958,0.995613313134,2687.0,0.0029164,0.0158015,108.309741021,200,7.16769,3000.0,1227.9039423465729,26.706897258758545,26.581437826156616,0.000421537
0.648408,2200.0,0.384565,1.97104,0.994144311616,2683.5,-0.0196086,0.0739074,124.409605738,200,7.17815,3000.0,1253.612123966217,25.68522357940674,25.608407258987427,-0.025839
0.645272,2300.0,1.42817,1.96124,0.99486089953,2686.5,0.0201397,0.189035,113.436105363,200,7.10812,3000.0,1280.4232857227325,26.80363368988037,26.50502109527588,0.00578024
