AveragePolicyStd,AverageReturn,Perplexity,LossAfter,NumTrajs,MinReturn,ItrTime,Entropy,LossBefore,MaxReturn,MaxKL,TotalExecTime,ExplainedVariance,MeanKL,StdReturn,Time
0.733824,2674.5,9.18559,-0.0216373,200,2300.0,10.728193759918213,2.21764,-0.0149458,3000.0,0.624842,10.66785740852356,0.99427851747,0.0590175,118.742368176,333.4576573371887
0.731064,2679.0,9.1172,-0.00979013,200,2400.0,10.961851835250854,2.21016,0.00506581,2900.0,0.892452,10.881675004959106,0.995101446829,0.131859,112.066944279,344.4305520057678
0.731921,2693.0,9.14033,-0.00571839,200,2400.0,10.842440128326416,2.2127,0.00790711,3000.0,0.417401,10.770100355148315,0.995093051339,0.0454788,112.031245642,355.27848267555237
0.733391,2684.5,9.17654,0.00192035,200,2300.0,10.992171287536621,2.21665,0.0137954,2900.0,1.84326,10.941598176956177,0.994356849685,0.163328,119.204655949,366.28241419792175
0.735943,2668.5,9.24005,0.0108559,200,2300.0,10.97451114654541,2.22355,0.0152521,3000.0,0.241104,10.872676610946655,0.994572936222,0.0299982,113.832113219,377.26284885406494
0.73878,2671.5,9.31079,-0.0222274,200,2300.0,10.976052045822144,2.23117,-0.00510203,3000.0,1.22241,10.917193174362183,0.994098952478,0.13577,124.650511431,388.2442171573639
0.737741,2676.0,9.28706,0.00205931,200,2400.0,11.553556203842163,2.22862,0.00654399,3000.0,0.155242,11.440970659255981,0.99533137246,0.0270253,109.654001295,399.80317187309265
0.738971,2670.5,9.31751,-0.00949438,200,2300.0,11.414666891098022,2.23189,-0.00526907,2900.0,0.265547,11.339068412780762,0.994267303532,0.03206,123.206128094,411.2203848361969
0.738016,2700.5,9.29298,-0.0171139,200,2200.0,10.80937910079956,2.22926,-0.00931249,2900.0,0.526097,10.69579267501831,0.994813234397,0.0731504,126.29231964,422.038765668869
0.736223,2679.0,9.24981,-0.0285401,200,2100.0,10.981509923934937,2.2246,-0.0202587,3000.0,0.495326,10.890803337097168,0.993736462974,0.0578062,136.231420752,433.0237421989441
0.732558,2664.0,9.15659,-0.0199037,200,2200.0,10.68682074546814,2.21447,-0.0119644,2900.0,0.44466,10.64078426361084,0.993286302529,0.0527164,128.078101173,443.7148292064667
0.730488,2688.5,9.10198,-0.0268244,200,2400.0,10.846919536590576,2.20849,-0.00524737,3000.0,1.88476,10.756181240081787,0.995206609296,0.241338,120.903887448,454.56972885131836
0.729496,2670.0,9.07813,-0.0216803,200,2200.0,11.09624695777893,2.20587,-0.0180184,3000.0,0.300584,11.043843269348145,0.994177520284,0.0255616,117.473401245,465.6698594093323
0.72626,2654.0,8.99671,-0.0369195,200,2200.0,10.750792503356934,2.19686,-0.0177378,3000.0,0.896433,10.69950270652771,0.993356853056,0.172757,138.866842695,476.42594385147095
0.723227,2683.0,8.91727,-0.0108342,200,2300.0,10.888570308685303,2.18799,0.00100762,3000.0,0.485962,10.840930223464966,0.994965668736,0.0770142,114.065770501,487.32204365730286
0.723436,2677.5,8.92177,-0.0119875,200,2300.0,11.573769330978394,2.18849,-0.0052864,2900.0,0.391892,11.480509042739868,0.994443310546,0.0711718,123.059944742,498.8994097709656
0.722451,2666.0,8.89821,-0.0177509,200,2200.0,11.235184669494629,2.18585,-0.00452745,3000.0,1.25402,11.173505306243896,0.993730716388,0.14586,132.830719339,510.1387002468109
0.72157,2677.0,8.87809,-0.00548149,200,2300.0,11.315849542617798,2.18359,-0.000192138,2900.0,0.281639,11.248589515686035,0.994342578615,0.0491157,116.923051619,521.465083360672
0.721608,2684.5,8.87724,-0.017399,200,2300.0,10.996012449264526,2.18349,0.00223693,3000.0,1.98332,10.946476697921753,0.995491262715,0.170845,109.589004923,532.4667830467224
0.722078,2673.0,8.88717,-0.000564932,200,2400.0,11.047760963439941,2.18461,0.00880958,2900.0,0.421844,10.992565870285034,0.994893702925,0.0649619,110.322255234,543.5249681472778
0.723621,2678.5,8.92641,-0.0161569,200,2200.0,10.866746425628662,2.18901,-0.0133104,3000.0,0.21512,10.793569326400757,0.994665067879,0.0137058,114.401704533,554.3970911502838
0.721229,2688.5,8.8672,-0.0172823,200,2400.0,10.871680974960327,2.18236,-0.0135495,2900.0,0.237335,10.814534187316895,0.994758571372,0.0153109,109.168447823,565.2784698009491
