TotalExecTime,Perplexity,ItrTime,StdReturn,NumTrajs,LossBefore,MaxReturn,LossAfter,Time,Entropy,AverageReturn,AveragePolicyStd,MeanKL,MaxKL,MinReturn,ExplainedVariance
13.279641151428223,4.713,13.370699405670166,119.698579774,200,-0.0136971,2900.0,-0.0205481,392.13945031166077,1.55032,2666.5,0.525315,0.0570652,0.306844,2300.0,0.994757432627
13.333231449127197,4.68083,13.386233568191528,118.717100706,200,-0.022175,2900.0,-0.0347347,405.5300393104553,1.54348,2667.5,0.523514,0.115417,1.25086,2300.0,0.994462531174
13.47989559173584,4.62922,13.53976821899414,119.377552329,200,-0.00725817,3000.0,-0.0308251,419.08086919784546,1.53239,2657.0,0.520615,0.412908,2.48726,2200.0,0.993835044893
13.513404607772827,4.61245,13.608579397201538,128.04686642,200,-0.0036928,3000.0,-0.0303961,432.6988694667816,1.52876,2648.0,0.519672,0.554198,2.02659,2300.0,0.993470209657
13.459508419036865,4.60394,13.51626992225647,129.590701827,200,0.00175645,3000.0,-0.024215,446.21903562545776,1.52691,2672.5,0.519211,0.38794,3.03634,2400.0,0.993943490133
13.332887172698975,4.60798,13.39417576789856,125.074977513,200,-0.00141103,2900.0,-0.0146064,459.6249599456787,1.52779,2682.5,0.519435,0.210027,1.70718,2300.0,0.993902208022
13.400814294815063,4.60473,13.457275867462158,136.520145034,200,0.0128628,3000.0,0.00398154,473.0890715122223,1.52708,2671.5,0.519245,0.0954984,0.741388,2300.0,0.994155022475
13.375296354293823,4.63444,13.438231706619263,118.810773922,200,-0.0040017,3000.0,-0.0293011,486.5552816390991,1.53352,2672.0,0.520909,0.674031,11.7141,2300.0,0.994935083382
13.363789558410645,4.62518,13.415198564529419,127.964838921,200,0.00998178,3000.0,-0.00168699,499.97866129875183,1.53152,2675.0,0.520388,0.247712,1.62696,2300.0,0.994159790123
13.581914186477661,4.64832,13.654667139053345,128.743931896,200,0.00949836,3000.0,-0.00933012,513.6389563083649,1.53651,2685.0,0.52169,0.361087,2.51215,2300.0,0.994015028775
13.343194961547852,4.67045,13.406809568405151,111.703849531,200,0.00357012,3000.0,-0.0106376,527.0553026199341,1.54126,2683.5,0.522929,0.261355,1.67181,2300.0,0.995088075996
13.294115781784058,4.6788,13.35384488105774,118.0,200,0.0104029,2900.0,-0.015354,540.4175381660461,1.54304,2676.0,0.523395,0.539263,4.7369,2300.0,0.994600367947
13.475457191467285,4.7032,13.591416120529175,118.227534864,200,0.0138674,3000.0,-0.00671856,554.0190277099609,1.54824,2683.5,0.52476,0.393543,2.74273,2300.0,0.995016593922
13.355040788650513,4.73592,13.427724838256836,115.929935737,200,-0.00673265,3000.0,-0.0159906,567.4502692222595,1.55518,2689.5,0.526581,0.080645,0.479075,2400.0,0.99487463413
13.302122354507446,4.72,13.358396291732788,113.185688141,200,0.0100943,3000.0,-0.0113655,580.8253080844879,1.55181,2683.0,0.525704,0.255642,3.77446,2400.0,0.994735437155
13.312706232070923,4.74389,13.409255266189575,105.052367893,200,-0.00966744,3000.0,-0.0151594,594.2403819561005,1.55686,2692.0,0.527035,0.134235,1.53569,2400.0,0.995743952709
13.411195039749146,4.72101,13.524286985397339,112.267537605,200,0.00334602,2900.0,-0.00332969,607.7694134712219,1.55202,2686.0,0.525762,0.103316,0.922844,2300.0,0.994995623388
13.34028434753418,4.72892,13.426082849502563,114.1008326,200,-0.0158272,3000.0,-0.0496967,621.1993486881256,1.5537,2691.0,0.526196,0.657556,6.4521,2300.0,0.994761040599
13.489720344543457,4.69164,13.542857885360718,112.639912997,200,0.00733655,2900.0,-0.000491695,634.7485389709473,1.54578,2678.5,0.524118,0.0724084,0.79998,2400.0,0.995139911625
13.435519456863403,4.70888,13.541258811950684,110.267855697,200,0.00122152,2900.0,-0.0185476,648.3044378757477,1.54945,2679.0,0.525081,0.405091,3.46106,2400.0,0.995323823171
13.342859029769897,4.71176,13.401071071624756,122.881040035,200,-0.01013,2900.0,-0.0283288,661.7082397937775,1.55006,2674.5,0.525243,0.196109,1.50464,2200.0,0.994206942928
