AveragePolicyStd,ItrTime,NumTrajs,LossBefore,MaxReturn,MaxKL,Perplexity,Entropy,TotalExecTime,MeanKL,MinReturn,StdReturn,LossAfter,AverageReturn,Time,ExplainedVariance
0.805297,4.855902194976807,40,0.000224521,400.0,2.72328,11.0609,2.40341,4.765604257583618,0.144741,0.0,109.515980569,-0.0271294,52.5,4.855897426605225,0.0355003755373
0.805169,4.741127014160156,40,0.00663228,4600.0,1.67842,11.0633,2.40364,4.650183439254761,0.0721112,0.0,778.636628987,-0.023303,485.0,9.599644184112549,0.189085873633
0.806355,4.671196460723877,40,0.00192089,1900.0,2.82768,11.1001,2.40695,4.627981185913086,0.208099,0.0,564.158665625,-0.0709896,865.0,14.274830102920532,0.223084878859
0.806655,4.684846639633179,40,-0.0440985,6100.0,2.34365,11.1107,2.40791,4.649115800857544,0.226412,1500.0,962.431815767,-0.113364,3615.0,18.969552040100098,0.698572198065
0.797939,4.6987833976745605,40,-0.0546006,7900.0,1.02273,10.8684,2.38586,4.649956464767456,0.0347326,1300.0,1231.98011348,-0.0806361,5085.0,23.671698570251465,0.754973918236
0.787031,4.984309673309326,40,-0.0403492,7400.0,4.41727,10.5757,2.35856,4.912593126296997,0.0507321,1900.0,1328.53067334,-0.0698383,5327.5,28.662362098693848,0.734063190108
0.779043,4.549517631530762,40,-0.0296046,7700.0,8.98747,10.3645,2.33839,4.507740020751953,0.0817886,0.0,1320.16807642,-0.0638109,6037.5,33.22219514846802,0.780491358955
