Perplexity,MaxKL,Time,AveragePolicyStd,LossAfter,AverageReturn,MaxReturn,LossBefore,NumTrajs,ExplainedVariance,StdReturn,TotalExecTime,MeanKL,MinReturn,Entropy,ItrTime
14.1457,1.354,11.773709535598755,0.917354,0.000769712,115.0,1600.0,0.0313918,20,0.0269439030705,359.548327767,11.6291823387146,0.244394,0.0,2.64941,11.773714542388916
14.5968,1.02726,23.225701808929443,0.933127,-0.103531,12705.0,17400.0,-0.0359738,20,0.661762323391,3276.35086644,11.375100135803223,0.257203,4400.0,2.68081,11.444759368896484
14.3366,0.0755033,34.97503447532654,0.92512,-0.0378938,19335.0,20700.0,-0.0267147,20,0.950915028696,1124.39983991,11.635891199111938,0.0221647,16600.0,2.66282,11.742520570755005
14.1464,0.0951045,45.68966221809387,0.918926,-0.0114117,20360.0,22800.0,-0.0040788,20,0.968104027301,1025.37797909,10.567192554473877,0.0121146,18400.0,2.64946,10.710443019866943
14.1176,0.181226,57.06000804901123,0.917257,-0.0302781,20075.0,21900.0,-0.0209097,20,0.962097759949,1090.35544663,11.325625658035278,0.0180134,16600.0,2.64742,11.361598014831543
13.9708,0.267069,68.82434749603271,0.913064,-0.0268747,20260.0,22700.0,-0.00655347,20,0.961774129316,1107.88086002,11.683817625045776,0.0443588,18600.0,2.63697,11.75460147857666
13.9251,0.293245,80.34488034248352,0.911741,-0.0448818,20740.0,22900.0,-0.0251984,20,0.958803571561,1172.34807118,11.407546997070312,0.0315249,18500.0,2.63369,11.505689144134521
