ComputeUpdatedDistTime,0ProcessExecTime,0Entropy,dLoss,1StdReturn,1MinReturn,1AveragePolicyStd,LossBefore,1PolicyExecTime,1EnvExecTime,LossAfter,0PolicyExecTime,1Entropy,1NumTrajs,1ProcessExecTime,0NumTrajs,MeanKLBefore,0EnvExecTime,1AverageReturn,MeanKL,0Perplexity,Time,0AverageReturn,0StdReturn,0ExplainedVariance,1Perplexity,1MaxReturn,0MinReturn,0AveragePolicyStd,0MaxReturn,ItrTime,1ExplainedVariance
1.1785242557525635,7.108202695846558,2.83788,-6.11180439591e-10,153.43083861,1.45165692077e-08,0.999602,1.54459849e-06,358.71065378189087,189.84810161590576,1.54520967044e-06,241.7735710144043,2.83708,1200,6.90411114692688,1200,1.2966663121e-07,187.89585900306702,78.8755612585,1.30256026409e-07,17.0794,1026.541913509369,23.6804565751,82.5056369102,0.717473925302,17.0658,485.298715784,1.41181283539e-06,1.0,468.008463719,1026.541916847229,0.668230214257
0.2565956115722656,6.584691762924194,2.83788,4.07453626394e-10,0.00013979298239,3.25771382297e-08,1.0001,-3.08500602841e-09,285.7652397155762,175.72208905220032,-3.49245965481e-09,193.15532398223877,2.83808,1200,6.330641269683838,1200,-1.49884549216e-08,174.90127182006836,1.38322945698e-05,-1.71621685752e-08,17.0794,1904.1258699893951,19.6306865843,74.2013255969,0.715673946384,17.0829,0.00466252180475,3.47518175432e-07,1.0,433.73153488,874.8839647769928,0
0.3016221523284912,6.602160692214966,2.83788,1.39698386192e-09,172.046609462,2.09423890819e-05,0.999976,-1.65961682796e-06,288.87484431266785,174.19704127311707,-1.66101381183e-06,182.5386266708374,2.83782,1200,6.530766487121582,1200,3.0755037983e-07,172.3943042755127,128.01691037,3.10642718659e-07,17.0794,2769.7129390239716,20.0773290111,73.2441322683,0.71421473999,17.0785,476.000047979,2.1253004648e-07,1.0,429.063239596,862.9709932804108,0.564807256236
0.2788729667663574,6.7087929248809814,2.83788,-3.01770342048e-09,90.5482224232,6.22834305554e-09,1.00061,-8.00615453045e-07,281.26690888404846,177.40494418144226,-7.97597749624e-07,190.3290412425995,2.83909,1200,6.538635730743408,1200,5.13525492352e-07,173.27101159095764,25.8826020667,5.11837981776e-07,17.0794,3640.780068397522,19.4732908475,71.5700069426,0.719264247556,17.1002,450.878747073,7.68903687027e-08,1.0,425.701975552,868.4032526016235,0.683225151836
0.2760734558105469,6.664883136749268,2.83788,-1.11758708954e-08,84.4951890094,4.69923375592e-09,1.00024,-2.18494096771e-06,279.2855417728424,176.27386498451233,-2.17376509681e-06,189.87231945991516,2.83835,1200,6.451833486557007,1200,1.15392776934e-06,171.8254110813141,25.5470108345,1.15515740617e-06,17.0794,4504.342109680176,17.3690732752,67.9619457436,0.724049729147,17.0876,442.92427732,2.43433752838e-08,1.0,416.921592341,861.0217208862305,0.612607423041
0.2653534412384033,6.383549451828003,2.83788,-5.96628524363e-09,46.6591662281,6.40250814918e-08,1.00058,-1.35559821501e-06,274.9861526489258,173.21471309661865,-1.34963192977e-06,189.82367873191833,2.83904,1200,6.1476218700408936,1200,2.27036653087e-05,172.11479306221008,11.0263298068,2.27041455219e-05,17.0794,5360.9335515499115,18.1609484847,69.4288229493,0.739616388998,17.0994,434.700012367,2.17721407393e-08,1.0,408.931668126,854.045173406601,0.188562231268
0.29850172996520996,6.2804601192474365,2.83788,5.63431967748e-10,131.115326444,1.19212975818e-09,0.99944,-1.79669768841e-07,267.55983996391296,174.02375149726868,-1.80233200808e-07,196.85387349128723,2.83676,1200,6.041404485702515,1200,4.16621652732e-08,169.86720991134644,58.4739330587,1.48339198702e-08,17.0794,6217.239953756332,19.411404829,70.3939285474,0.740614714607,17.0604,438.181363381,3.30793651622e-08,1.0,422.631358571,853.7244253158569,0.792676048726
0.36191606521606445,6.204853296279907,2.83788,9.60426405072e-10,159.774225863,8.26006548194e-07,0.99908,4.07861080021e-07,267.6241600513458,171.37826704978943,4.06900653616e-07,197.07058119773865,2.83603,1200,6.081206321716309,1200,4.25351089461e-07,171.86930537223816,97.9270334047,4.12208351008e-07,17.0794,7072.778010129929,14.4648632838,59.546211951,0.725466614822,17.0479,466.454826135,2.85197310225e-08,1.0,394.683618461,853.1204977035522,0.475472698486
0.27497267723083496,6.1139750480651855,2.83788,7.63975549489e-10,100.542727498,1.58066727411e-09,0.999732,4.07395418733e-07,229.72047448158264,164.60612559318542,4.06631443184e-07,178.0021984577179,2.83734,1200,5.812278747558594,1200,3.37796670635e-08,165.1539478302002,43.8165938573,3.32120855262e-08,17.0794,7857.242983818054,19.669290057,71.4758441357,0.753550186289,17.0703,443.243246706,1.71017665625e-08,1.0,412.726553223,781.9743101596832,0.504497297542
0.29104185104370117,6.056197166442871,2.83788,-2.69210431725e-10,86.5625691351,9.98963674543e-09,1.00078,2.92198092211e-06,231.3074028491974,164.7068738937378,2.92225013254e-06,168.92654967308044,2.83945,1200,5.7660231590271,1200,1.34103714799e-07,163.41577005386353,24.3528203539,1.04579285676e-07,17.0794,8629.466462612152,22.5213638643,74.9353382027,0.765604295309,17.1063,445.083588083,9.99781809782e-09,1.0,404.80626295,769.723884344101,0.626647612385
