Time,MaxReturn,TotalExecTime,MinReturn,Entropy,AverageReturn,MeanKL,NumTrajs,ItrTime,ExplainedVariance,AveragePolicyStd,Perplexity,LossBefore,StdReturn,LossAfter,MaxKL
1009.1659409999847,3000.0,32.00430083274841,1800.0,2.63993,2590.0,0.0190984,200,32.309560775756836,0.988171907194,0.90579,14.0122,-0.0424881,185.47236991,-0.0501504,0.264697
1043.1629056930542,2900.0,33.70703840255737,2000.0,2.61868,2618.5,0.0795943,200,33.98397469520569,0.989300115229,0.896201,13.7177,-0.0281673,166.756559091,-0.0450033,0.968043
1077.4194660186768,3000.0,33.8514769077301,2200.0,2.6046,2640.5,0.0329418,200,34.24315667152405,0.992328498893,0.889907,13.5258,-0.026006,137.512726684,-0.0341723,0.319583
1112.1293091773987,2900.0,34.30805444717407,2100.0,2.5916,2641.5,0.0142925,200,34.704944372177124,0.992808450612,0.88415,13.3511,-0.011409,140.099072088,-0.0149109,0.746296
1145.533944606781,3000.0,33.103076219558716,2200.0,2.58589,2665.0,0.0040018,200,33.389771938323975,0.993690083263,0.881657,13.2751,-0.0160093,134.443296597,-0.0204502,0.0696868
1180.0332245826721,2900.0,34.18511080741882,2000.0,2.57789,2646.5,0.0513891,200,34.48644042015076,0.991955751702,0.87813,13.1693,-0.0244432,146.587004881,-0.0323855,1.69369
1213.560046195984,2900.0,33.18367028236389,2100.0,2.56567,2643.5,0.00390963,200,33.50793743133545,0.993252691643,0.872806,13.0093,-0.0249022,131.748814036,-0.0285353,0.0723996
1247.6010270118713,3000.0,33.74376726150513,2200.0,2.55322,2656.5,0.00776186,200,34.02568817138672,0.993772584303,0.86738,12.8484,-0.0137534,136.226832893,-0.0169672,0.124483
1279.990926027298,2900.0,32.069739818573,2100.0,2.54634,2646.5,0.0760147,200,32.37364888191223,0.992513770622,0.864405,12.7603,-0.0328447,137.432710808,-0.0456862,3.67356
1314.055585384369,3000.0,33.78027153015137,2300.0,2.52992,2662.5,0.0391846,200,34.04467010498047,0.994574657601,0.857346,12.5525,-0.0354272,125.074977513,-0.0433965,1.13351
1349.179277896881,2900.0,34.73816776275635,2200.0,2.5122,2671.5,0.118112,200,35.1126229763031,0.993553030995,0.849799,12.3321,-0.0423713,131.672890148,-0.0618018,4.48843
1382.0314581394196,2900.0,32.60108947753906,2200.0,2.49102,2642.5,0.0311658,200,32.83434820175171,0.992288124141,0.840819,12.0735,-0.0230472,142.981642178,-0.0299006,1.23904
1416.0748271942139,3000.0,33.761069774627686,2200.0,2.47949,2676.5,0.0234587,200,34.00939965248108,0.994286340304,0.835956,11.9352,-0.023432,131.140192161,-0.0285055,0.396793
1449.7562396526337,3000.0,33.38562989234924,2300.0,2.46778,2666.0,0.0186949,200,33.66263937950134,0.994373139095,0.831089,11.7962,0.00123286,125.87295182,-0.0040713,0.265108
1484.1394622325897,3000.0,34.10164523124695,2000.0,2.46839,2659.0,0.0316613,200,34.37443280220032,0.99309524035,0.831344,11.8035,-0.0161541,136.45145657,-0.0253158,0.537362
1518.4480016231537,2900.0,33.94975709915161,2300.0,2.46032,2651.0,0.029257,200,34.278027296066284,0.993392050731,0.828,11.7085,-0.0278174,122.877988265,-0.0358281,0.532403
1551.422338962555,2900.0,32.684385776519775,2300.0,2.44641,2665.0,0.095653,200,32.96273469924927,0.994380167857,0.82229,11.5468,-0.0253392,115.650335062,-0.0390307,1.38678
1584.797711610794,2900.0,33.08039355278015,2300.0,2.43374,2669.5,0.0373782,200,33.360368967056274,0.995183348615,0.81712,11.4014,-0.00711901,114.977171647,-0.0117918,1.64844
1617.5035409927368,2900.0,32.43021082878113,2200.0,2.43018,2663.5,0.0166214,200,32.684507846832275,0.993723737661,0.815742,11.3609,-0.0162024,130.452098488,-0.0210813,0.448642
1652.215801000595,2900.0,34.408138036727905,2300.0,2.42208,2665.5,0.0876462,200,34.69165754318237,0.994078867279,0.812473,11.2692,-0.0146047,131.756404019,-0.0271376,1.50724
1685.4700016975403,2900.0,33.02796816825867,2300.0,2.41478,2670.5,0.0646547,200,33.24252796173096,0.994473373309,0.809422,11.1873,-0.00997201,114.803092293,-0.0188379,1.41941
