Perplexity,AveragePolicyStd,MeanKL,NumTrajs,MaxReturn,StdReturn,ExplainedVariance,AverageReturn,MaxKL,TotalExecTime,Entropy,ItrTime,LossBefore,MinReturn,LossAfter,Time
15.613,0.956152,0.046243,20,300.0,137.477270849,0.359939851194,90.0,0.333183,34.98630738258362,2.7481,35.399046897888184,0.00704497,0.0,-0.00794286,35.399040937423706
15.7234,0.959578,0.0394832,20,900.0,202.175666192,0.355779770183,225.0,0.337696,34.42743492126465,2.75515,34.75733685493469,-0.0129093,0.0,-0.0261269,70.16390109062195
15.6222,0.956467,0.000725833,20,300.0,143.090880213,0.613030528803,195.0,0.00537885,33.87028622627258,2.74869,34.06966829299927,0.00187289,0.0,0.000683793,104.26228451728821
15.6368,0.956926,0.0131264,20,400.0,148.323969742,0.621886012695,200.0,0.079954,33.123241901397705,2.74963,33.24683332443237,-0.00200793,0.0,-0.00880087,137.53866910934448
15.6212,0.956445,0.00893852,20,1200.0,291.376045687,0.259590316147,210.0,0.117913,33.9175181388855,2.74863,34.12456798553467,0.0100823,0.0,0.00571411,171.7112774848938
15.7001,0.958829,0.0295999,20,1300.0,317.608249263,0.430616849433,375.0,0.252707,33.59498953819275,2.75367,33.882102966308594,-0.000484163,0.0,-0.00695151,205.60999059677124
15.6963,0.958733,0.0268541,20,1300.0,279.060925248,0.44312713183,275.0,0.14854,34.47373557090759,2.75343,34.850008487701416,0.0114365,0.0,0.00418771,240.50107645988464
