Perplexity,Time,AveragePolicyStd,NumTrajs,TotalExecTime,ItrTime,Entropy,MaxReturn,LossAfter,AverageReturn,StdReturn,MinReturn,MeanKL,LossBefore,ExplainedVariance,MaxKL
9.42543,435.39809918403625,0.74409,200,14.496344804763794,14.601653814315796,2.24341,2900.0,-0.0354632,2652.0,119.983332176,2200.0,0.104106,-0.0175824,0.994446453953,0.837979
9.34293,450.09469175338745,0.740896,200,14.576278924942017,14.685410261154175,2.23462,3000.0,-0.0129029,2662.0,116.858889264,2400.0,0.0465673,-0.00779353,0.994788771456,0.606151
9.3066,464.6320457458496,0.739406,200,14.467853546142578,14.532597303390503,2.23072,3000.0,-0.0167974,2675.0,132.947358003,2300.0,0.0559837,-0.00921011,0.993512345819,0.587109
9.26384,479.7182991504669,0.737597,200,15.01476263999939,15.080028057098389,2.22612,3000.0,-0.0235491,2667.0,134.948138186,2200.0,0.0828674,-0.0141379,0.9940460088,0.42358
9.19858,494.9254331588745,0.734945,200,15.072325229644775,15.202026605606079,2.21905,2900.0,-0.0161594,2671.0,115.58114033,2400.0,0.0986485,-0.00335119,0.994970592798,0.755363
9.18318,510.07092475891113,0.734338,200,14.99296259880066,15.14100193977356,2.21737,3000.0,-0.0287441,2656.5,118.986343754,2400.0,0.0964311,-0.0190087,0.994715467076,0.64
9.09632,524.4936997890472,0.730823,200,14.339150667190552,14.416383981704712,2.20787,3000.0,-0.0341742,2666.0,124.273891063,2200.0,0.101048,-0.0236651,0.993740718731,0.615742
8.98932,539.7003190517426,0.726511,200,15.127115488052368,15.19121241569519,2.19604,2900.0,-0.0157985,2652.5,131.885366891,2300.0,0.177069,0.0030609,0.992746950449,0.792341
9.00308,554.9765317440033,0.727224,200,15.204833984375,15.273425579071045,2.19757,2900.0,-0.0114428,2667.5,119.137525574,2300.0,0.0674303,-0.00403592,0.99411551505,0.928995
8.98493,570.3039722442627,0.72663,200,15.26828145980835,15.321794271469116,2.19555,2900.0,0.00114118,2658.5,143.623640115,2100.0,0.00580113,0.00284472,0.993115775904,0.0531283
8.99773,584.4025535583496,0.727144,200,14.003708124160767,14.074557781219482,2.19697,3000.0,-0.0228207,2675.5,128.256578779,2300.0,0.131812,-0.00928167,0.99352399075,1.03914
8.95607,599.1220524311066,0.725396,200,14.647710800170898,14.712843656539917,2.19233,3000.0,-0.0228349,2670.5,124.818868766,2200.0,0.14928,-0.00861261,0.994207501718,0.846209
8.91758,614.5239777565002,0.723824,200,15.312658548355103,15.397172689437866,2.18802,2900.0,-0.00388054,2678.0,116.687617167,2400.0,0.0724446,0.00318108,0.995137610322,0.728421
8.93178,629.057553768158,0.724415,200,14.476848602294922,14.52859354019165,2.18962,2900.0,-0.0125248,2674.5,120.414907715,2400.0,0.158659,0.0069561,0.994354650101,1.83832
8.96289,643.6455481052399,0.725679,200,14.538520574569702,14.584236145019531,2.19309,3000.0,-0.0181045,2672.0,120.482363855,2300.0,0.159294,6.48033e-05,0.994298757871,0.962987
8.96319,658.1715378761292,0.725769,200,14.38418197631836,14.520646095275879,2.19313,3000.0,-0.00948767,2687.0,118.452522134,2400.0,0.08093,0.00422981,0.995196909647,0.974974
8.98216,672.2725479602814,0.726497,200,14.004958152770996,14.096359014511108,2.19524,3000.0,-0.0196657,2695.5,106.441298376,2400.0,0.078115,-0.0139544,0.995894841001,0.785229
8.91971,687.0756461620331,0.724057,200,14.700477838516235,14.799439668655396,2.18826,2900.0,-0.0136521,2674.0,115.861986864,2400.0,0.0213305,-0.00951978,0.994918709045,0.147629
8.87736,701.9129521846771,0.72254,200,14.780147552490234,14.830848693847656,2.1835,3000.0,-0.0247724,2679.5,118.447245641,2300.0,0.0586764,-0.0164637,0.994974700276,0.479386
8.80458,716.5992844104767,0.719258,200,14.540476083755493,14.675744533538818,2.17527,3000.0,-0.0131732,2694.5,118.826554271,2300.0,0.0629934,-0.00474343,0.994845203574,0.821398
8.78372,731.2075283527374,0.718409,200,14.482282161712646,14.591335773468018,2.1729,3000.0,-0.0351752,2673.5,121.027889348,2300.0,0.10829,-0.0234256,0.994531647124,0.925446
8.68143,745.6458542346954,0.714257,200,14.345641136169434,14.433842182159424,2.16119,3000.0,-0.0127234,2695.5,113.709058566,2400.0,0.102201,0.000144098,0.99507650542,0.877836
