Perplexity,Entropy,ItrTime,AverageReturn,MaxReturn,MinReturn,AveragePolicyStd,MeanKL,NumTrajs,MaxKL,LossBefore,StdReturn,LossAfter,TotalExecTime,Time,ExplainedVariance
15.4937,2.74043,5.90300726890564,0.0,0.0,0.0,0.95435,0.0,20,0.0,-0.0,0.0,-0.0,5.808781385421753,5.903005361557007,1
15.4937,2.74043,5.727193355560303,0.0,0.0,0.0,0.95435,0.0,20,0.0,-0.0,0.0,-0.0,5.638484239578247,11.63260555267334,1
15.4937,2.74043,5.691812515258789,35.0,700.0,0.0,0.95435,0.00843684,20,0.0311969,-0.00863836,152.561463024,-0.0144954,5.64803147315979,17.328341484069824,0.0368050537185
15.4269,2.73611,5.591341733932495,0.0,0.0,0.0,0.952359,0.0,20,0.0,-0.0,0.0,-0.0,5.533618450164795,22.944655179977417,1
15.4269,2.73611,5.567317724227905,30.0,600.0,0.0,0.952359,0.0370318,20,0.6306,0.00623494,130.766968306,-0.0151898,5.535343408584595,28.51925539970398,0.0318417713654
15.4751,2.73923,5.770830154418945,220.0,3100.0,0.0,0.954039,0.0525826,20,0.289742,-0.00123072,718.748913043,-0.0232578,5.713009595870972,34.29535222053528,0.0525696004681
15.4656,2.73862,6.0421998500823975,915.0,5000.0,0.0,0.9538,0.0915257,20,0.64044,0.0146492,1224.44885561,-0.011576,5.990709543228149,40.34780550003052,0.0817718202087
