AveragePolicyStd,ExplainedVariance,Time,Perplexity,LossAfter,LossBefore,StdReturn,Entropy,TotalExecTime,MinReturn,AverageReturn,MaxReturn,NumTrajs,MeanKL,MaxKL,ItrTime
0.893029,0.987019466327,772.0601274967194,13.6195,-0.0741295,-0.0590055,199.248588452,2.6115,28.555802583694458,1600.0,2500.0,2900.0,200,0.0230908,0.0551634,28.804722547531128
0.879911,0.989299192185,799.1880731582642,13.2235,-0.0633706,-0.054346,175.712833908,2.582,26.86051321029663,2000.0,2555.0,2900.0,200,0.0120423,0.0233497,27.117138147354126
0.868046,0.989706761901,826.4843924045563,12.869,-0.0448331,-0.035448,177.54999296,2.55483,27.045770168304443,1900.0,2574.0,3000.0,200,0.0234189,0.0738071,27.28286385536194
0.860423,0.992330585051,852.9855225086212,12.643,-0.0231986,-0.0214016,149.143387383,2.5371,26.252424716949463,2100.0,2602.5,2900.0,200,0.000707822,0.00213546,26.488911151885986
0.855826,0.992716838186,879.548336982727,12.5084,-0.0518494,-0.0428886,148.875787152,2.5264,26.27037763595581,1900.0,2594.0,2900.0,200,0.0261092,0.0787534,26.52835202217102
0.846691,0.991770306552,906.9518876075745,12.243,-0.046741,-0.0412791,143.330910832,2.50496,27.112558364868164,2100.0,2617.5,2900.0,200,0.0175687,0.0565286,27.378553867340088
0.837995,0.991131708703,933.557079076767,11.9929,-0.024938,-0.01717,146.005993028,2.48432,26.322059869766235,2200.0,2611.5,2900.0,200,0.0285848,0.0970834,26.58188533782959
0.83438,0.993085184137,958.9182302951813,11.8904,-0.016726,-0.0153272,135.185058346,2.47573,25.10058045387268,2200.0,2635.0,2900.0,200,0.00245474,0.00624044,25.351781368255615
0.831184,0.992555820127,984.9507913589478,11.7996,-0.00564944,-0.00453908,152.734246323,2.46807,25.724246501922607,2000.0,2641.5,2900.0,200,0.0017571,0.00439328,26.00646185874939
0.830241,0.993497571358,1011.2913992404938,11.7729,-0.0241715,-0.0221586,135.882302012,2.4658,26.046367406845093,2200.0,2656.0,3000.0,200,0.00193204,0.00650397,26.321953058242798
0.825654,0.99447454223,1037.9328150749207,11.6432,-0.0234184,-0.0200512,125.074977513,2.45472,26.345885038375854,2200.0,2662.5,3000.0,200,0.0125147,0.039216,26.62548851966858
0.821532,0.994321730499,1065.8125576972961,11.527,-0.0116062,-0.0100812,126.885775404,2.44469,27.682979583740234,2300.0,2660.0,2900.0,200,0.00451006,0.0157592,27.85986614227295
0.819468,0.993961048996,1093.2911562919617,11.4691,0.000289928,0.00162614,124.457824182,2.43965,27.243544816970825,2300.0,2664.5,2900.0,200,0.00448775,0.0159053,27.466216802597046
0.819804,0.99371798777,1119.817895412445,11.4784,-0.00368792,-0.00021174,126.692541217,2.44047,26.338019609451294,2200.0,2657.0,3000.0,200,0.00881816,0.0281213,26.500954151153564
0.819753,0.994836839057,1146.6211442947388,11.4772,-0.00621071,-0.00538878,125.0909669,2.44036,26.486238956451416,2400.0,2673.5,3000.0,200,0.00140781,0.00703083,26.773027181625366
0.818664,0.995514995781,1173.8918147087097,11.4463,-0.028507,-0.0244566,111.998883923,2.43767,27.088900566101074,2300.0,2682.5,3000.0,200,0.0176437,0.0541465,27.256513595581055
0.81366,0.994258147274,1200.4658150672913,11.3072,-0.0192695,-0.0184721,122.474487139,2.42544,26.2304208278656,2300.0,2660.0,2900.0,200,0.00186791,0.00504981,26.54954218864441
0.809906,0.994397856251,1228.644490480423,11.2032,-0.0268989,-0.0256664,126.491106407,2.4162,27.924419403076172,2300.0,2670.0,3000.0,200,0.0016489,0.00810957,28.164481163024902
0.804749,0.994886318403,1258.930909395218,11.0604,-0.0152942,-0.0150094,120.9948346,2.40337,29.965660095214844,2300.0,2685.5,3000.0,200,0.00019597,0.00104424,30.26972246170044
0.801752,0.993858680608,1287.5961322784424,10.9777,-0.0304634,-0.0270777,129.010658474,2.39586,28.393062353134155,2200.0,2662.5,3000.0,200,0.00989762,0.0399313,28.64583110809326
0.79635,0.995007740864,1315.7859344482422,10.83,-0.00779312,-0.00482276,117.939603187,2.38232,27.98422908782959,2400.0,2684.5,3000.0,200,0.0144117,0.0468421,28.16690421104431
