LossAfter,ItrTime,Perplexity,Time,LossBefore,AverageReturn,TotalExecTime,ExplainedVariance,MeanKL,AveragePolicyStd,MaxReturn,NumTrajs,MinReturn,MaxKL,Entropy,StdReturn
-0.0302997,33.696746826171875,13.4923,1061.9570372104645,-0.0205906,2587.0,33.37161326408386,0.988960871479,0.0392348,0.889233,2900.0,200,2000.0,1.23889,2.60212,167.4246099
-0.0331765,34.991514444351196,13.3541,1096.9549961090088,-0.0205922,2588.0,34.66814613342285,0.988590424428,0.0480658,0.88468,2900.0,200,1900.0,2.01478,2.59183,167.200478468
-0.0412871,35.43313932418823,13.2173,1132.400963306427,-0.0352896,2594.0,35.05959987640381,0.987436566459,0.014197,0.880217,2900.0,200,1300.0,0.235185,2.58153,188.318878501
-0.0407704,35.594642639160156,12.9862,1168.020750761032,-0.0249997,2624.5,35.244807720184326,0.991936609658,0.0631387,0.872433,2900.0,200,1900.0,0.542357,2.56388,144.740284648
-0.0290738,35.35976696014404,12.8248,1203.3990290164948,-0.0245309,2641.5,35.15194129943848,0.992036101377,0.0110285,0.867013,2900.0,200,2200.0,0.418793,2.55138,136.483515488
-0.018915,36.147223472595215,12.6685,1239.5673696994781,-0.011074,2635.0,35.77210760116577,0.992714080671,0.0319454,0.861777,2900.0,200,2300.0,0.764936,2.53912,132.570735836
-0.0328173,36.01280736923218,12.5985,1275.588583946228,-0.0229009,2635.0,35.67311954498291,0.99236209484,0.0438962,0.859563,3000.0,200,2200.0,0.67523,2.53358,144.82748358
-0.0254581,34.85650563240051,12.4551,1310.4624395370483,-0.0222085,2644.0,34.49459648132324,0.992212260507,0.0139281,0.854669,2900.0,200,1900.0,0.227802,2.52213,145.821809068
-0.0501035,36.40469527244568,12.3176,1346.8838551044464,-0.0241815,2638.0,36.16971516609192,0.993597417881,0.167132,0.849899,2900.0,200,2300.0,19.3029,2.51103,137.680790236
0.00488824,34.75972557067871,12.1695,1381.679275751114,0.0110034,2638.0,34.496103286743164,0.992231089831,0.0296861,0.844878,2900.0,200,2300.0,1.1483,2.49894,129.444969002
-0.00381576,35.05471634864807,12.2367,1416.7457957267761,-0.000809386,2660.5,34.78709173202515,0.994073094252,0.0126257,0.847152,2900.0,200,2200.0,0.174376,2.50444,125.258732231
-0.0106911,34.824875593185425,12.2317,1451.585993528366,-0.00613633,2667.5,34.56340789794922,0.994611835917,0.0296283,0.847098,2900.0,200,2300.0,0.653608,2.50403,123.66790206
-0.00809811,34.03159523010254,12.1943,1485.6485369205475,-0.00328456,2659.5,33.71112656593323,0.995146483851,0.0147423,0.846002,3000.0,200,2300.0,0.151576,2.50097,117.088641635
-0.0201569,36.87066197395325,12.1742,1522.5366971492767,-0.0130626,2671.0,36.57676672935486,0.993891916536,0.0359575,0.845216,3000.0,200,2200.0,0.579914,2.49932,120.660681251
-1.4267,35.613651752471924,12.095,1558.1632676124573,-0.002182,2665.5,35.3326735496521,0.993813044678,7.71653,0.842522,2900.0,200,2200.0,846.818,2.49279,124.738726946
0.00363028,35.78365135192871,12.0818,1593.9681148529053,0.0140867,2663.0,35.430347204208374,0.993899880423,0.0986085,0.842133,3000.0,200,2300.0,2.22531,2.4917,120.129097225
-0.0325383,35.62183737754822,12.1672,1629.6201586723328,-0.0141762,2670.0,35.31928539276123,0.99465255965,0.0757424,0.844913,2900.0,200,2300.0,1.74697,2.49874,115.758369028
0.0101998,33.74635100364685,12.0813,1663.38099527359,0.0138373,2683.5,33.48172378540039,0.994298973654,0.0141198,0.842094,3000.0,200,2400.0,0.277101,2.49166,115.229119584
0.00163689,35.34270882606506,12.1651,1698.7382454872131,0.00714452,2665.5,35.03153085708618,0.994390601642,0.0152282,0.845054,2900.0,200,2200.0,0.216775,2.49857,120.6637891
-0.024952,34.97514605522156,12.2087,1733.7228302955627,-0.00779486,2672.5,34.621161460876465,0.994241181315,0.239236,0.846657,2900.0,200,2300.0,15.4685,2.50215,119.973955507
-0.0204162,34.74310088157654,12.1612,1768.484158039093,-0.0148856,2676.0,34.45149636268616,0.993700818554,0.0362305,0.845085,3000.0,200,2300.0,0.537519,2.49825,130.476051442
