MaxReturn,AverageReturn,AveragePolicyStd,TotalExecTime,MaxKL,NumTrajs,MeanKL,ExplainedVariance,ItrTime,StdReturn,MinReturn,Entropy,LossAfter,Perplexity,LossBefore,Time
5200.0,2795.0,0.95435,5.065390586853027,1.24964,20,0.459747,0.216423373466,5.13189172744751,1459.95719115,200.0,2.74043,-0.101087,15.4937,-0.017056,5.1318888664245605
20500.0,16305.0,0.946153,4.7856810092926025,0.440484,20,0.136646,0.79339974783,4.841076374053955,2317.21276537,11400.0,2.72338,-0.0260489,15.2317,0.0141197,9.977349758148193
21700.0,19485.0,0.94935,4.838295221328735,0.0884118,20,0.027739,0.924392760405,4.877608060836792,1367.21432117,15800.0,2.73044,-0.0333552,15.3396,-0.0224982,14.860609769821167
21500.0,20525.0,0.943844,4.746181488037109,0.0997767,20,0.0161842,0.977402068169,4.78161096572876,795.534411575,18500.0,2.71919,-0.0191244,15.168,-0.0128453,19.646425247192383
21300.0,19840.0,0.941236,4.863854885101318,0.165733,20,0.0286293,0.960661792254,4.905985116958618,879.431634637,17900.0,2.71276,-0.0401363,15.0709,-0.0274074,24.565889358520508
21500.0,20130.0,0.935203,9.1114661693573,0.792847,20,0.134261,0.964921416982,9.147713422775269,1068.69078783,17500.0,2.69906,-0.0522354,14.8658,-0.02687,33.726712703704834
21300.0,18795.0,0.929089,4.724001884460449,0.740731,20,0.219318,0.879258844337,4.784706354141235,2019.77102663,14200.0,2.68563,-0.0652533,14.6674,-0.0152303,38.517186641693115
