MinReturn,Time,MeanKL,NumTrajs,Perplexity,TotalExecTime,StdReturn,AveragePolicyStd,MaxReturn,MaxKL,Entropy,ExplainedVariance,ItrTime,LossAfter,AverageReturn,LossBefore
700.0,797.7062604427338,0.0101723,200,13.4379,26.964794635772705,431.289925688,0.887057,2900.0,0.0393972,2.59808,0.928724887824,27.10708999633789,-0.0505967,2133.0,-0.0404367
800.0,824.8760762214661,0.0129343,200,13.1689,26.960213661193848,391.928245984,0.878121,2900.0,0.0519276,2.57786,0.940784331633,27.159238815307617,-0.0664415,2206.5,-0.0552397
900.0,851.55237865448,0.0199699,200,12.8102,26.58383822441101,357.552443706,0.866068,2900.0,0.0912402,2.55024,0.955648760307,26.661662340164185,-0.0685815,2262.5,-0.0532593
1400.0,878.8990371227264,0.0132704,200,12.4735,27.12062978744507,298.713491493,0.854595,2900.0,0.0586478,2.52361,0.965346826467,27.339160680770874,-0.076274,2379.5,-0.0645582
1600.0,906.0888936519623,0.0282485,200,12.0773,26.970706701278687,259.764797461,0.840913,2900.0,0.122396,2.49133,0.973782659233,27.182244062423706,-0.073509,2416.5,-0.0563245
1800.0,934.1549792289734,0.0279911,200,11.742,27.79370880126953,218.904088587,0.829152,2900.0,0.138869,2.46317,0.982959654138,28.04782223701477,-0.0470397,2491.0,-0.0333044
1900.0,962.0470802783966,0.0204552,200,11.548,27.67810869216919,203.714874273,0.822282,2900.0,0.110252,2.44652,0.985846651865,27.887303352355957,-0.0451878,2550.5,-0.0361155
2000.0,990.9069061279297,0.0143653,200,11.3414,28.559659957885742,178.044938148,0.814912,2900.0,0.0940888,2.42846,0.988187576956,28.83358073234558,-0.0365438,2560.0,-0.0288881
1800.0,1019.0285818576813,0.00533895,200,11.1787,27.899843215942383,177.256170555,0.809035,3000.0,0.0289481,2.41401,0.990668841493,28.116726398468018,-0.0186214,2605.5,-0.015481
1900.0,1047.7891297340393,0.0100945,200,11.0925,28.543752908706665,156.585439936,0.805912,2900.0,0.0443096,2.40627,0.99099137291,28.756940126419067,-0.0496584,2591.0,-0.0441744
2100.0,1076.822960615158,0.00360209,200,10.8502,28.718212366104126,163.608526673,0.797053,3000.0,0.0153074,2.38419,0.991477135081,29.001900672912598,-0.0427208,2613.5,-0.0397666
1900.0,1104.479583978653,0.00880028,200,10.6366,27.385660886764526,143.930538803,0.789195,2900.0,0.0332798,2.3643,0.991904892998,27.634766340255737,-0.0271125,2622.0,-0.0222239
2300.0,1133.427787065506,0.00287866,200,10.5191,28.698839902877808,131.254523732,0.784855,2900.0,0.0128124,2.35319,0.993075112371,28.932968378067017,-0.0372297,2633.5,-0.0349049
2000.0,1164.649820804596,0.00139551,200,10.3371,30.923319339752197,152.0,0.778024,2900.0,0.00538345,2.33574,0.991242849151,31.21773362159729,-0.021105,2636.0,-0.0197817
2200.0,1196.0540654659271,0.0123781,200,10.2354,31.122317790985107,127.819208259,0.774237,3000.0,0.0572535,2.32585,0.992557935308,31.387644052505493,-0.0376835,2628.5,-0.0329159
2300.0,1224.855493068695,0.021321,200,10.0683,28.551031827926636,137.080268456,0.767918,3000.0,0.104396,2.30939,0.993387592881,28.783965587615967,-0.0474805,2647.0,-0.0402532
2100.0,1253.7069599628448,0.000615512,200,9.86767,28.562448740005493,132.641433949,0.760286,3000.0,0.00541346,2.28926,0.992824434164,28.831249237060547,-0.0146923,2647.5,-0.0135642
2200.0,1282.0525574684143,0.0327953,200,9.80098,28.138588666915894,133.356664625,0.757678,2900.0,0.153159,2.28248,0.994024322059,28.326030731201172,-0.0519649,2654.0,-0.0428998
2300.0,1309.3518929481506,0.00315238,200,9.59298,27.16814398765564,130.651253343,0.749569,2900.0,0.0303279,2.26103,0.993884770605,27.27771234512329,-0.0140553,2655.5,-0.0122192
2300.0,1337.1716718673706,0.00637769,200,9.53454,27.541987657546997,127.294933128,0.747281,3000.0,0.0343152,2.25492,0.994094442273,27.78170943260193,-0.0182243,2664.0,-0.0151565
2300.0,1365.1766347885132,0.00242774,200,9.46257,27.80105686187744,130.727770577,0.744484,3000.0,0.0234326,2.24734,0.993832629404,28.000250101089478,-0.00275719,2664.5,-0.00125897
