Entropy,ItrTime,Perplexity,ExplainedVariance,MeanKL,AveragePolicyStd,LossAfter,NumTrajs,MaxKL,LossBefore,AverageReturn,MaxReturn,MinReturn,Time,StdReturn,TotalExecTime
2.67957,10.930548906326294,14.5788,0.260359279316,0.403283,0.92455,-0.0298108,20,2.61927,0.025975,2405.0,6300.0,0.0,10.930542469024658,2083.38066613,10.848203897476196
2.70554,10.7239670753479,14.9624,0.843501187412,0.0550591,0.9364,-0.0257949,20,0.819953,-0.00544071,6935.0,34200.0,0.0,21.660181999206543,12215.6569615,10.577066898345947
2.70282,10.701199531555176,14.9217,0.890745469674,0.201504,0.935237,-0.0541596,20,2.01425,-0.0217806,37640.0,42100.0,28700.0,32.37211513519287,3791.2267144,10.62222671508789
2.69193,10.51224398612976,14.7601,0.76800717555,0.951524,0.930202,-0.133841,20,4.10181,-0.0177789,32110.0,39100.0,23800.0,42.89138317108154,3729.86594933,10.466989755630493
2.68304,10.552727460861206,14.6295,0.841155827644,0.336711,0.926105,-0.0799159,20,1.9865,-0.0182792,33600.0,38600.0,28200.0,53.44947671890259,2889.46361804,10.507511854171753
2.6739,10.765635967254639,14.4964,0.709709442612,0.550062,0.921884,-0.101418,20,3.63005,-0.020881,29660.0,33700.0,22200.0,64.2219750881195,3115.83054738,10.705148935317993
2.66346,10.710912704467773,14.3458,0.444543629629,0.719722,0.91701,-0.116127,20,2.84545,-0.00636494,20720.0,25200.0,8000.0,74.94867968559265,3809.27814684,10.657198190689087
