dLoss,1AverageReturn,0ProcessExecTime,LossAfter,1MinReturn,1AveragePolicyStd,1ExplainedVariance,0NumTrajs,1StdReturn,0ExplainedVariance,0Entropy,1PolicyExecTime,0AveragePolicyStd,1Perplexity,1ProcessExecTime,LossBefore,0EnvExecTime,1MaxReturn,ComputeUpdatedDistTime,1EnvExecTime,0MinReturn,MeanKL,Time,0Perplexity,1Entropy,MeanKLBefore,ItrTime,0AverageReturn,0PolicyExecTime,0StdReturn,1NumTrajs,0MaxReturn
0.00123892797274,268.5,6.287369251251221,-0.00123892736156,0.0,0.999988,0.0856398179111,2000,1127.04824653,0.0721225296444,2.83788,236.84467196464539,1.0,17.079,6.018143177032471,6.11180439591e-10,144.10254311561584,11200.0,1.0294561386108398,143.28088855743408,0.0,0.00768528366461,705.6414785385132,17.0794,2.83785,-1.57092172604e-09,705.6414806842804,227.7,145.06228232383728,1036.84748637,2000,12400.0
0.00187014882977,519.5,6.248338460922241,-0.00187014858238,0.0,1.00154,0.0931906458307,2000,1974.05920631,0.0904525162876,2.84093,270.37211871147156,1.00153,17.1321,6.080323934555054,2.47382558882e-10,143.1248390674591,17000.0,0.23350310325622559,147.4707326889038,0.0,0.00641654338688,1456.7007730007172,17.1316,2.84095,-1.19325582748e-09,747.4789907932281,472.6,151.16623902320862,1876.03284619,2000,16400.0
0.00133526365971,900.25,6.77445912361145,-0.00133526383433,0.0,1.00206,0.130382137947,2000,2777.86697621,0.0970177804192,2.84256,331.7997348308563,1.00235,17.1498,6.87650203704834,-1.7462298274e-10,157.71294951438904,18600.0,0.25531911849975586,162.4133734703064,0.0,0.00819713622332,2358.720554590225,17.1596,2.84199,-1.3678767008e-09,897.4487080574036,646.7,207.54888343811035,2328.05693874,2000,16900.0
0.00164592041256,1007.25,6.916672945022583,-0.00164591986686,0.0,0.996703,0.124792497526,2000,3173.55832426,0.117167956181,2.83371,323.20604705810547,0.997964,16.9657,6.54926061630249,5.45696821064e-10,159.59252285957336,18400.0,0.2405080795288086,160.10331916809082,0.0,0.00675720581785,3261.4567317962646,17.0085,2.8312,-2.44472198041e-09,897.5334312915802,908.35,217.01729083061218,2811.20886408,2000,18300.0
0.00242243788671,2424.55,6.515136957168579,-0.00242243590765,0.0,0.99514,0.119588626349,2000,5099.12171825,0.0949535761188,2.83061,310.32665848731995,0.996429,16.9116,6.3601975440979,1.97906047106e-09,158.34432291984558,21000.0,0.2520778179168701,159.53194093704224,0.0,0.00697364239022,4152.468569517136,16.9559,2.828,-1.97906402377e-09,886.1804165840149,1859.75,217.28409695625305,4344.34171509,2000,20200.0
0.00217253740993,4070.75,6.484922409057617,-0.00217253761366,0.0,0.985064,0.125060167281,2000,6846.59400268,0.0775359584438,2.80855,307.9131324291229,0.985628,16.567,6.332804918289185,-2.03726813197e-10,157.54297137260437,22200.0,0.24863815307617188,159.3871250152588,0.0,0.00644515035674,5036.429411411285,16.5859,2.80741,-3.08500958113e-08,879.540689945221,2684.3,217.9682755470276,5352.01583611,2000,21000.0
0.00198139263375,6085.1,6.505458354949951,-0.00198139389977,0.0,0.97927,0.155526863893,2000,8399.58677496,0.0566529585174,2.79837,309.35284090042114,0.980713,16.369,6.326735973358154,-1.26601662487e-09,157.91853070259094,22800.0,0.25028228759765625,159.48548889160156,0.0,0.00662856036797,5927.537127971649,16.4179,2.79539,-1.62981483864e-09,886.1385271549225,2792.65,222.55256748199463,5609.81291823,2000,21700.0
0.00233845780895,6552.9,6.519135475158691,-0.00233845738694,0.0,0.973056,0.15679305638,2000,8933.48093354,0.0541946702972,2.78389,309.400714635849,0.973723,16.1589,6.379501581192017,4.22005541623e-10,157.96438598632812,22600.0,0.2485342025756836,160.54600286483765,0.0,0.00899946503341,6819.059511899948,16.1818,2.78247,-1.35332922646e-09,886.4751369953156,3423.75,221.79120516777039,6424.75454298,2000,22300.0
0.00144534997526,8020.4,6.520768165588379,-0.00144535012078,0.0,0.962275,0.191693165784,2000,9597.12164349,0.050625564134,2.76393,308.85359382629395,0.96374,15.8136,6.391935348510742,-1.45519152284e-10,157.9379756450653,22900.0,0.26363253593444824,160.37731528282166,0.0,0.00665207672864,7710.340067625046,15.862,2.76087,-2.32830443814e-09,886.3359248638153,3667.3,222.16143202781677,6696.44911203,2000,22300.0
0.00169421110331,9371.6,6.545204401016235,-0.001694210805,0.0,0.950985,0.251796157589,2000,10215.2480851,0.0517486871989,2.7392,307.5404164791107,0.951988,15.4413,6.31994366645813,2.98314262182e-10,157.27631521224976,23600.0,0.24554133415222168,160.2786204814911,0.0,0.00632588751614,8597.564264297485,15.4745,2.73705,-3.49246107589e-08,882.4390881061554,3172.95,220.0857391357422,6061.73022309,2000,22300.0
