MaxKL,LossAfter,MaxReturn,ItrTime,MeanKL,LossBefore,Entropy,AveragePolicyStd,NumTrajs,AverageReturn,TotalExecTime,ExplainedVariance,Time,Perplexity,MinReturn,StdReturn
0.142073,-0.0138867,700.0,6.704408407211304,0.0423261,0.0030477,2.68973,0.929406,20,95.0,6.60092830657959,0.150078389889,6.704406499862671,14.7277,0.0,193.584606826
0.101576,0.00993946,2700.0,10.299073934555054,0.0391504,0.0280426,2.69278,0.930418,20,655.0,10.259003400802612,0.190874886474,17.006309270858765,14.7727,0.0,643.020217412
0.181107,-0.0357641,12600.0,6.376415014266968,0.109105,0.00881159,2.7068,0.937063,20,4995.0,6.341344118118286,0.244037890482,23.38738226890564,14.9812,600.0,2874.79999304
0.00819882,-0.0409108,19500.0,6.361046314239502,0.00260851,-0.0380511,2.7112,0.939217,20,16350.0,6.314846515655518,0.768020733244,29.76273822784424,15.0474,8200.0,2710.81168656
0.0113783,0.0106002,20400.0,6.618459463119507,0.00318471,0.0133855,2.69218,0.930232,20,16860.0,6.568257570266724,0.835161276499,36.384876012802124,14.7638,12000.0,1970.12689947
0.0297947,-0.0432202,20600.0,9.319600582122803,0.019453,-0.0356724,2.69887,0.933156,20,17275.0,9.267626762390137,0.773077063474,45.71249532699585,14.863,10600.0,2799.97767848
0.249481,-0.0781247,20100.0,6.218331336975098,0.126398,-0.0372362,2.68104,0.924719,20,14670.0,6.171693563461304,0.692911855091,51.95639610290527,14.6002,9600.0,3192.19360315
