0AveragePolicyStd,1ProcessExecTime,1StdReturn,1MaxReturn,1NumTrajs,0PolicyExecTime,1AveragePolicyStd,LossBefore,1Entropy,0MaxReturn,1AverageReturn,MeanKLBefore,0ProcessExecTime,0AverageReturn,0ExplainedVariance,1ExplainedVariance,0StdReturn,1Perplexity,Time,1PolicyExecTime,MeanKL,1MinReturn,0EnvExecTime,LossAfter,1EnvExecTime,0NumTrajs,0MinReturn,0Perplexity,ItrTime,0Entropy,ComputeUpdatedDistTime,dLoss
1.0,8.79341721534729,843.31013868,10700.0,2000,210.2152419090271,1.00029,5.82076609135e-10,2.83845,13100.0,134.9,-8.73110195254e-10,8.684680700302124,144.3,0.0629322707602,0.0663062162388,918.339539604,17.0892,1047.3371136188507,347.7770426273346,0.00729793403298,0.0,218.67187976837158,-0.000972893089056,226.92789006233215,2000,0.0,17.0794,1047.3371183872223,2.83788,0.9569642543792725,0.000972893671133
0.994226,6.131094217300415,1437.52803103,15800.0,2000,203.8001868724823,0.994809,0.0,2.82745,15600.0,335.4,-4.07454237017e-10,8.431809425354004,281.9,0.068573798645,0.0904016887374,1357.08230775,16.9024,1893.6650772094727,236.2353639602661,0.0096189873293,0.0,212.04958653450012,-0.00123770534992,152.17036962509155,2000,0.0,16.8827,842.5616357326508,2.82629,0.2554199695587158,0.00123770534992
0.982271,5.760334491729736,2055.33056952,18700.0,2000,144.7046172618866,0.982303,-6.40284270048e-10,2.8018,17900.0,467.5,-2.96858515547e-09,5.987733364105225,461.8,0.0894051712597,0.0856449103889,2063.38575162,16.4743,2606.416020154953,238.3683876991272,0.00679226173088,0.0,144.26087307929993,-0.00167862663511,146.45736145973206,2000,0.0,16.4735,708.8702909946442,2.80175,0.2817089557647705,0.00167862599483
0.984565,5.713157653808594,3073.76752496,18700.0,2000,171.38025164604187,0.984573,-4.80213202536e-10,2.80652,18300.0,1042.05,2.91037249855e-10,5.844447374343872,857.7,0.088768205678,0.110302535377,2640.43570458,16.5523,3347.296235561371,238.11234498023987,0.00877485144883,0.0,146.05848002433777,-0.00163993379101,146.06646990776062,2000,0.0,16.5522,736.2641086578369,2.80652,0.2719235420227051,0.0016399333108
0.980467,5.769144535064697,3579.24666341,22500.0,2000,171.57674956321716,0.980295,-6.34827301838e-10,2.79794,20800.0,1346.35,-1.51339840659e-09,5.903711318969727,1142.7,0.099086021179,0.105471828065,3224.7599461,16.4107,4091.159944295883,240.39990139007568,0.00992497894913,0.0,146.1860957145691,-0.00194408267271,146.56029200553894,2000,0.0,16.4164,739.4608507156372,2.79828,0.27532029151916504,0.00194408203788
0.970566,5.798152685165405,4777.54013589,22100.0,2000,171.87939620018005,0.969263,2.32830643654e-10,2.77541,21500.0,2099.5,-3.39933130533e-08,5.927819490432739,1231.15,0.0662469143311,0.133744835258,3290.83039331,16.0452,4833.657560110092,237.6547200679779,0.00862592365593,0.0,146.7127652168274,-0.00164413196035,146.91372919082642,2000,0.0,16.0885,738.1043956279755,2.7781,0.27375197410583496,0.00164413219318
0.967147,5.784290552139282,5362.54334341,22400.0,2000,171.45816159248352,0.966724,1.7462298274e-10,2.77006,19800.0,2558.3,-2.23517027109e-08,5.920534133911133,1331.35,0.0737434016772,0.179218399759,3340.57512676,15.9596,5575.5514352321625,238.05499029159546,0.00810593459755,0.0,146.4376232624054,-0.00154920609202,146.5700867176056,2000,0.0,15.973,737.3244652748108,2.7709,0.2751908302307129,0.00154920626665
0.953537,5.846299886703491,5579.75714167,22400.0,2000,171.75508570671082,0.954586,1.2805685401e-09,2.74477,21600.0,2496.8,1.95577598561e-08,5.907890796661377,1415.85,0.072048686156,0.15547093244,3663.28729115,15.5611,6322.868982553482,242.06501841545105,0.00909464433789,0.0,146.64181470870972,-0.00164009141736,147.6899654865265,2000,0.0,15.5271,742.8885729312897,2.74259,0.2926182746887207,0.00164009269793
0.93329,5.827840328216553,6588.21564595,22800.0,2000,171.09025263786316,0.932079,-2.29192664847e-10,2.69712,21200.0,3626.45,1.86264470514e-09,5.922917366027832,1525.45,0.0675705345497,0.221739259167,3667.58194148,14.8369,7065.216975212097,237.58491158485413,0.00833412166685,0.0,147.30316877365112,-0.00190210039727,147.19041752815247,2000,0.0,14.8753,737.938015460968,2.6997,0.2859804630279541,0.00190210016808
0.928489,5.858664512634277,6726.81262115,23000.0,2000,169.70249462127686,0.927573,1.7462298274e-10,2.68744,21000.0,3401.4,1.86264226265e-09,5.965920686721802,1791.85,0.070492511089,0.175643936542,4260.33080611,14.694,7817.263375043869,239.94365882873535,0.00994921289384,0.0,147.26864576339722,-0.00232741655782,147.2146716117859,2000,0.0,14.7232,747.7005610466003,2.68943,0.2848045825958252,0.00232741673244
0.929878,5.8722522258758545,7418.19735094,23100.0,2000,168.01930379867554,0.92881,5.23868948221e-10,2.69013,21100.0,4318.25,0.0,5.963873624801636,2043.9,0.0635148479563,0.185749453725,4531.38420243,14.7336,8564.814026594162,244.34826278686523,0.00897422991693,0.0,147.40771746635437,-0.0014888048172,147.86139822006226,2000,0.0,14.7671,742.7568836212158,2.6924,0.39200830459594727,0.00148880534107
0.931617,5.844422817230225,8121.50813565,23300.0,2000,171.22111821174622,0.931094,-4.14502210333e-10,2.695,22900.0,5116.45,1.86264170754e-09,6.0119102001190186,1986.25,0.0569335630982,0.220391632637,4468.70069903,14.8055,9309.572214841843,238.43316650390625,0.00730474665761,0.0,147.63425612449646,-0.00161278317682,148.22784852981567,2000,0.0,14.8221,740.6146290302277,2.69612,0.23585271835327148,0.00161278276232
0.930718,5.846205711364746,8534.32984349,23600.0,2000,171.85782146453857,0.929001,1.27329258248e-09,2.69059,22100.0,5329.65,1.67638045667e-08,5.960576057434082,2119.3,0.0582123917538,0.236343752263,4501.51613459,14.7403,10055.132704496384,238.23639678955078,0.00783934351057,0.0,148.17701053619385,-0.0016586438287,147.79486680030823,2000,0.0,14.7948,741.1461827754974,2.69427,0.23438763618469238,0.001658645102
0.922507,5.80061149597168,8738.87601468,23700.0,2000,171.2542531490326,0.921347,2.91038304567e-10,2.67403,23300.0,6026.0,-1.2490009027e-16,5.951606035232544,2043.7,0.0524296393722,0.232647321595,4337.43360871,14.4983,10801.88796710968,240.70590257644653,0.00974173191935,0.0,147.26173281669617,-0.00227649882436,148.09562611579895,2000,0.0,14.5348,742.1300723552704,2.67655,0.2927100658416748,0.0022764991154
0.912697,5.870036840438843,9290.1536466,23500.0,2000,170.0646617412567,0.911671,3.82897269446e-10,2.65284,22200.0,6473.35,-3.7252845253e-09,5.9418957233428955,2554.7,0.0548630177657,0.254611536351,5002.78601481,14.1943,11545.163079738617,237.75840973854065,0.00904499553144,0.0,147.747234582901,-0.00202276860364,148.2539894580841,2000,0.0,14.2265,738.9348306655884,2.65511,0.2747187614440918,0.00202276898654
0.91034,5.8802313804626465,9535.84720607,23700.0,2000,171.71126055717468,0.909612,1.89174897969e-10,2.64822,23100.0,7074.25,1.86264359492e-09,5.987402439117432,2394.35,0.0547172136237,0.24839747517,4749.23078798,14.1289,12290.263528347015,238.37867879867554,0.00791017711163,0.0,147.29758405685425,-0.00230207573622,148.1860637664795,2000,0.0,14.152,740.6655972003937,2.64986,0.23590779304504395,0.0023020759254
0.898711,5.811903715133667,10029.8497385,23700.0,2000,171.5416452884674,0.898146,1.2805685401e-09,2.62278,23000.0,8056.65,-7.45059480778e-09,5.941966772079468,2320.45,0.0518557543437,0.257110896796,4839.9139246,13.7739,13037.433062076569,238.63991522789001,0.0063427137211,0.0,148.4890332221985,-0.00159559736494,148.94043588638306,2000,0.0,13.7913,742.8276038169861,2.62404,0.2797844409942627,0.00159559864551
0.896509,5.790686845779419,10205.5177369,23700.0,2000,173.6138949394226,0.896506,-4.14729584008e-10,2.61895,23300.0,8339.15,0.0,5.910076856613159,2287.45,0.04990641544,0.281014925175,4698.65911697,13.7213,13784.881187438965,237.2455334663391,0.00643559033051,0.0,147.91600060462952,-0.00176612753421,149.17871594429016,2000,0.0,13.7221,742.9156227111816,2.61901,0.27452874183654785,0.00176612711948
0.878731,5.888907432556152,10561.3450279,23800.0,2000,171.48132824897766,0.878098,-1.93540472537e-09,2.57737,23500.0,8759.55,0.0,5.918224573135376,2284.05,0.0494624343824,0.292645013516,4728.25449796,13.1625,14531.226316690445,238.5345859527588,0.00729449745268,0.0,147.87375259399414,-0.00243021687493,149.43152952194214,2000,0.0,13.1819,742.0352733135223,2.57885,0.2687523365020752,0.00243021493952
