ItrTime,NumTrajs,AveragePolicyStd,MaxReturn,Time,MaxKL,MeanKL,LossBefore,Perplexity,Entropy,StdReturn,ExplainedVariance,LossAfter,TotalExecTime,AverageReturn,MinReturn
36.42168569564819,200,0.835358,2900.0,1089.791945695877,0.0302345,0.00578181,-0.0168919,11.9054,2.47699,116.357208629,0.995212395887,-0.0184037,36.00893497467041,2681.0,2200.0
36.504138231277466,200,0.831776,3000.0,1126.317750453949,0.0364217,0.00822612,-0.0260476,11.8052,2.46854,124.874937437,0.994323933615,-0.0284209,36.087008237838745,2672.5,2300.0
36.18783473968506,200,0.826435,3000.0,1162.5205206871033,0.0234769,0.00626191,-0.014021,11.6525,2.45552,123.764898093,0.994312205628,-0.0160518,35.76088285446167,2688.5,2300.0
38.51526355743408,200,0.823586,3000.0,1201.0568561553955,0.000792935,0.000362959,0.00210241,11.5711,2.44851,128.42799539,0.994589553026,0.00158362,38.091707706451416,2672.5,2300.0
36.187978744506836,200,0.824137,2900.0,1237.2545273303986,0.0788814,0.0222767,-0.00353205,11.5832,2.44956,120.099958368,0.994414086721,-0.00696344,35.75465226173401,2674.0,2200.0
36.78435754776001,200,0.823504,2900.0,1274.0549864768982,0.0804695,0.0192734,-0.00176292,11.5628,2.44779,123.400769852,0.994155267094,-0.00460369,36.356157064437866,2666.5,2300.0
36.309043169021606,200,0.823049,2900.0,1310.3773186206818,0.0490418,0.0135058,0.000622246,11.5526,2.44691,115.633040261,0.994668785524,-0.00148541,35.87557625770569,2673.0,2300.0
36.423110008239746,200,0.823251,3000.0,1346.8145043849945,0.00547871,0.00169153,0.00361451,11.5562,2.44722,125.215813698,0.993968253886,0.00274783,35.993356704711914,2661.0,2400.0
36.24444556236267,200,0.823845,3000.0,1383.0719635486603,0.111132,0.0334627,-0.00429679,11.5771,2.44903,112.44443072,0.994999983893,-0.00913416,35.7889199256897,2677.5,2400.0
38.418848276138306,200,0.822887,2900.0,1421.508383989334,0.106267,0.0273427,0.0051496,11.5523,2.44688,133.040407396,0.993283372336,0.00165976,38.16238975524902,2649.5,2300.0
42.397603034973145,200,0.823985,3000.0,1463.9174423217773,0.0192177,0.00395151,-0.0102572,11.582,2.44946,115.454536507,0.995312149309,-0.0112391,42.09988069534302,2695.5,2400.0
36.62191677093506,200,0.821869,3000.0,1500.562731742859,0.0634899,0.0164396,-0.00551086,11.5228,2.44433,117.09397935,0.994336522305,-0.00902571,36.24344086647034,2683.0,2400.0
36.41365098953247,200,0.820669,3000.0,1536.9946055412292,0.0633524,0.0171908,-0.00216689,11.4911,2.44157,114.188440746,0.995420864116,-0.00582362,36.02683687210083,2681.0,2400.0
36.670536518096924,200,0.82031,2900.0,1573.6816143989563,0.0167443,0.00549977,-0.00107446,11.4786,2.44049,118.717100706,0.994602873932,-0.00357413,36.341540813446045,2672.5,2300.0
38.49572682380676,200,0.820003,3000.0,1612.1819167137146,0.155666,0.0389274,-0.00803139,11.4725,2.43995,118.058248335,0.994324407178,-0.013192,38.02706527709961,2671.5,2300.0
36.563252687454224,200,0.81844,3000.0,1648.7584671974182,0.00243561,0.000736692,-0.0110776,11.4265,2.43594,119.070357352,0.994704124427,-0.0120619,36.13991093635559,2683.5,2400.0
36.69805359840393,200,0.816121,2900.0,1685.4669706821442,0.200761,0.055875,-0.00824328,11.3634,2.4304,115.913761047,0.994042428802,-0.0152158,36.273927211761475,2658.0,2300.0
39.93122172355652,200,0.814526,2900.0,1725.413051366806,0.0151449,0.00336242,0.000189933,11.3167,2.42628,104.917824987,0.995356792963,-0.000769777,39.56936717033386,2681.5,2300.0
37.60573959350586,200,0.814613,3000.0,1763.0379197597504,0.181815,0.0520462,0.000585994,11.3177,2.42637,125.4183001,0.993705874867,-0.00745706,37.19249415397644,2679.5,2300.0
42.45413327217102,200,0.814669,3000.0,1805.5071897506714,0.146827,0.0405661,-0.0120657,11.321,2.42666,116.832144549,0.994885554046,-0.0183366,42.06756901741028,2675.5,2300.0
40.965802907943726,200,0.812263,2900.0,1846.500292301178,0.0137219,0.00495182,-0.0199025,11.253,2.42063,123.790145004,0.993774100401,-0.0216486,40.43086814880371,2674.0,2200.0
41.075403928756714,200,0.808205,3000.0,1887.602341890335,0.00466755,0.00147233,0.00736727,11.1415,2.41068,113.753021938,0.994575400021,0.00672606,40.754016399383545,2685.5,2300.0
