AverageReturn,ExplainedVariance,MinReturn,ItrTime,TotalExecTime,LossAfter,NumTrajs,AveragePolicyStd,StdReturn,MaxReturn,Perplexity,LossBefore,MeanKL,Time,MaxKL,Entropy
85.0,0.19192826777,0.0,15.941083669662476,15.599532127380371,-0.179232,20,1.00066,210.416254125,900.0,17.1021,0.0143461,1.61216,15.941077470779419,151.241,2.8392
15.0,0.0905483705993,0.0,16.896586656570435,16.546469926834106,-0.113567,20,1.00792,65.3834841531,300.0,17.3492,-0.00925871,1.9188,32.847381591796875,165.364,2.85355
15.0,0.328329778159,0.0,16.7997784614563,16.59219455718994,0.0627249,20,1.00561,47.6969600708,200.0,17.2691,-0.00230705,0.767255,49.66606378555298,89.1803,2.84892
45.0,0.2588083123,0.0,16.678681135177612,16.49221682548523,-0.00470895,20,1.00501,174.570902501,800.0,17.2492,-0.00372697,0.00611386,66.35763216018677,1.09277,2.84776
50.0,0.220403162093,0.0,17.146785974502563,16.94950819015503,83.8859,20,1.00405,136.014705087,500.0,17.2171,-0.00736208,289.732,83.51982545852661,18301.1,2.8459
10.0,0.39076034543,0.0,17.562664031982422,17.42004919052124,0.0807456,20,1.00224,43.5889894354,200.0,17.1538,-0.0126327,1.05335,101.10080218315125,129.23,2.84222
50.0,0.317823803143,0.0,15.879093885421753,15.743735790252686,0.0100887,20,0.999093,111.803398875,400.0,17.0458,-0.00591403,0.102763,117.01079034805298,18.7547,2.8359
