LossBefore,ItrTime,TotalExecTime,Perplexity,StdReturn,NumTrajs,MeanKL,ExplainedVariance,AveragePolicyStd,AverageReturn,LossAfter,Time,MaxKL,MaxReturn,Entropy,MinReturn
0.00988819,16.94377040863037,16.625710010528564,17.1021,186.74849397,20,1.59217,0.192935680224,1.00066,75.0,-0.26205,16.943761825561523,166.93,800.0,2.8392,0.0
0.0109843,15.794826984405518,15.561445713043213,17.272,43.5889894354,20,2.47135,0.32775389175,1.00567,10.0,-0.0669496,32.761125564575195,173.943,200.0,2.84909,0.0
-0.0029291,16.313074111938477,16.14180088043213,17.3672,85.2936105462,20,1.2149,0.167173730915,1.00841,35.0,0.107573,49.09496474266052,132.744,300.0,2.85458,0.0
-0.0153832,16.580461740493774,16.411996841430664,17.3417,477.912125814,20,0.00138546,0.198738585741,1.00767,140.0,-0.0178961,65.68970203399658,0.0105644,2200.0,2.85312,0.0
0.00506622,16.57339596748352,16.409884214401245,17.2089,115.217186218,20,68.3391,0.208576196227,1.00382,35.0,9.42209,82.29432249069214,4424.74,500.0,2.84543,0.0
0.00784639,16.887362241744995,16.64758610725403,17.2525,65.3834841531,20,26.6122,0.207054542768,1.0051,15.0,1.81717,99.20373344421387,2430.35,300.0,2.84796,0.0
0.0146106,16.195584297180176,15.925300598144531,17.3203,174.355957742,20,0.000577741,0.129902425943,1.00717,40.0,0.0129562,115.42811012268066,0.00551102,800.0,2.85188,0.0
