MinReturn,Perplexity,LossBefore,TotalExecTime,AveragePolicyStd,Entropy,ExplainedVariance,MaxReturn,MeanKL,MaxKL,LossAfter,NumTrajs,AverageReturn,StdReturn,Time,ItrTime
0.0,11.0609,0.0221499,4.878019094467163,0.805297,2.40341,0.089353222917,500.0,0.196384,4.62664,-0.0334242,40,70.0,128.840987267,4.936883449554443,4.936887502670288
0.0,11.3086,0.00289442,4.684446573257446,0.814329,2.42556,0.22121197247,1500.0,0.192969,2.31285,-0.0756293,40,587.5,426.138181814,9.698472261428833,4.7505011558532715
1000.0,11.325,0.00830545,4.621946573257446,0.815,2.42701,0.545611438014,4900.0,0.184539,1.02954,-0.0620202,40,2395.0,788.336856934,14.37041974067688,4.663548469543457
3200.0,11.3721,-0.0520638,4.818621873855591,0.816784,2.43116,0.835027225989,6900.0,0.121686,7.7286,-0.0942839,40,5225.0,848.45447727,19.244667768478394,4.868010759353638
3400.0,11.0799,-0.0456317,4.649456739425659,0.806155,2.40513,0.861833996856,6900.0,0.137161,2.92683,-0.0895813,40,5420.0,750.066663704,23.947092056274414,4.6987221240997314
4800.0,10.8299,-0.0462992,4.65554141998291,0.796938,2.38231,0.91905967922,7400.0,0.0178417,0.403872,-0.0600505,40,6175.0,731.009575861,28.64890193939209,4.693084955215454
4600.0,10.5821,0.00152794,4.680071115493774,0.787696,2.35916,0.923428132737,7900.0,0.0494071,1.02045,-0.0207332,40,6295.0,724.206462274,33.381701707839966,4.72559380531311
