MaxReturn,MeanKL,MinReturn,MaxKL,Time,Entropy,AveragePolicyStd,Perplexity,StdReturn,TotalExecTime,ExplainedVariance,LossBefore,ItrTime,LossAfter,NumTrajs,AverageReturn
0.0,0.0,0.0,0.0,13.579222679138184,1.66796,0.55714,5.30132,0.0,13.468085050582886,1,-0.0,13.57922911643982,-0.0,200,0.0
0.0,0.0,0.0,0.0,27.022847414016724,1.66796,0.55714,5.30132,0.0,13.334017753601074,1,-0.0,13.439981460571289,-0.0,200,0.0
0.0,0.0,0.0,0.0,40.321465492248535,1.66796,0.55714,5.30132,0.0,13.233110666275024,1,-0.0,13.295486450195312,-0.0,200,0.0
0.0,0.0,0.0,0.0,53.62970972061157,1.66796,0.55714,5.30132,0.0,13.244200229644775,1,-0.0,13.301669120788574,-0.0,200,0.0
0.0,0.0,0.0,0.0,67.02865505218506,1.66796,0.55714,5.30132,0.0,13.277519226074219,1,-0.0,13.388338088989258,-0.0,200,0.0
0.0,0.0,0.0,0.0,80.31032085418701,1.66796,0.55714,5.30132,0.0,13.196279525756836,1,-0.0,13.276126861572266,-0.0,200,0.0
0.0,0.0,0.0,0.0,93.66997957229614,1.66796,0.55714,5.30132,0.0,13.260208368301392,1,-0.0,13.346887111663818,-0.0,200,0.0
0.0,0.0,0.0,0.0,107.0391104221344,1.66796,0.55714,5.30132,0.0,13.282569169998169,1,-0.0,13.363652467727661,-0.0,200,0.0
0.0,0.0,0.0,0.0,120.54243087768555,1.66796,0.55714,5.30132,0.0,13.394152641296387,1,-0.0,13.494904279708862,-0.0,200,0.0
0.0,0.0,0.0,0.0,133.88022208213806,1.66796,0.55714,5.30132,0.0,13.274166822433472,1,-0.0,13.334954977035522,-0.0,200,0.0
0.0,0.0,0.0,0.0,147.4658203125,1.66796,0.55714,5.30132,0.0,13.47663426399231,1,-0.0,13.56362271308899,-0.0,200,0.0
0.0,0.0,0.0,0.0,160.69865107536316,1.66796,0.55714,5.30132,0.0,13.171859741210938,1,-0.0,13.22694444656372,-0.0,200,0.0
0.0,0.0,0.0,0.0,173.92905235290527,1.66796,0.55714,5.30132,0.0,13.137728452682495,1,-0.0,13.22503399848938,-0.0,200,0.0
0.0,0.0,0.0,0.0,187.34076571464539,1.66796,0.55714,5.30132,0.0,13.343622922897339,1,-0.0,13.40236210823059,-0.0,200,0.0
0.0,0.0,0.0,0.0,200.73865222930908,1.66796,0.55714,5.30132,0.0,13.291005849838257,1,-0.0,13.390834093093872,-0.0,200,0.0
0.0,0.0,0.0,0.0,214.15030717849731,1.66796,0.55714,5.30132,0.0,13.324425220489502,1,-0.0,13.409122467041016,-0.0,200,0.0
0.0,0.0,0.0,0.0,227.68277049064636,1.66796,0.55714,5.30132,0.0,13.44640326499939,1,-0.0,13.520418882369995,-0.0,200,0.0
0.0,0.0,0.0,0.0,240.93706583976746,1.66796,0.55714,5.30132,0.0,13.163866519927979,1,-0.0,13.244369745254517,-0.0,200,0.0
0.0,0.0,0.0,0.0,254.3909957408905,1.66796,0.55714,5.30132,0.0,13.385191440582275,1,-0.0,13.444194555282593,-0.0,200,0.0
0.0,0.0,0.0,0.0,267.69127082824707,1.66796,0.55714,5.30132,0.0,13.200937032699585,1,-0.0,13.287687540054321,-0.0,200,0.0
0.0,0.0,0.0,0.0,281.24044275283813,1.66796,0.55714,5.30132,0.0,13.476468563079834,1,-0.0,13.544069528579712,-0.0,200,0.0
0.0,0.0,0.0,0.0,294.6619484424591,1.66796,0.55714,5.30132,0.0,13.318087100982666,1,-0.0,13.404512643814087,-0.0,200,0.0
