0Entropy,1PolicyExecTime,0AveragePolicyStd,0MaxReturn,0MinReturn,0PolicyExecTime,1Entropy,0StdReturn,1EnvExecTime,0ExplainedVariance,LossAfter,1MaxReturn,1ProcessExecTime,1NumTrajs,1AverageReturn,LossBefore,0EnvExecTime,0Perplexity,1MinReturn,MeanKLBefore,Time,dLoss,1Perplexity,MeanKL,ItrTime,1ExplainedVariance,1StdReturn,1AveragePolicyStd,0ProcessExecTime,ComputeUpdatedDistTime,0AverageReturn,0NumTrajs
2.83788,33.79168486595154,1.0,700.0,0.0,20.904165506362915,2.8358,35.7242525775,20.07229208946228,0.0330747012632,-0.00411110324785,800.0,0.8810601234436035,1200,3.58333333333,-9.31322574615e-10,18.696966886520386,17.0795,0.0,2.37196240427e-09,99.93267822265625,0.00411110231653,17.044,0.00652422057465,99.93268156051636,0.0489196462848,43.9184060377,0.998969,0.8386595249176025,0.648712158203125,2.66666666667,1200
2.85071,34.27021765708923,1.00644,1100.0,0.0,21.25692653656006,2.84789,54.447732327,20.38783311843872,0.0331529431073,-0.00418880721554,1000.0,0.9023489952087402,1200,8.16666666667,1.45519152284e-09,19.34579825401306,17.3001,0.0,-9.31322519104e-10,201.9820749759674,0.00418880867073,17.2513,0.00668935663998,100.35723423957825,0.058431358724,70.8282351106,1.00504,0.8764595985412598,0.07504701614379883,4.33333333333,1200
2.8342,34.26589250564575,0.998163,1300.0,0.0,21.55240797996521,2.83678,70.9694280815,20.53562355041504,0.0371467442705,-0.00541111268103,1600.0,0.9115357398986816,1200,24.1666666667,3.49245965481e-10,19.675568342208862,17.0167,0.0,1.39698541624e-09,304.9559121131897,0.00541111303028,17.0607,0.0062976302579,101.17990374565125,0.120683019097,147.815105979,0.999461,0.8846087455749512,0.07854914665222168,7.41666666667,1200
2.82486,35.116600036621094,0.993515,1500.0,0.0,21.198425769805908,2.82277,118.31311447,21.084718227386475,0.0567716381246,-0.00740139465779,2300.0,0.9205334186553955,1200,106.333333333,-2.32830643654e-10,19.380448818206787,16.8586,0.0,-3.03844238658e-08,408.82958579063416,0.00740139442496,16.8234,0.00820592138916,102.04071497917175,0.23530431507,317.82052937,0.992484,0.8822641372680664,0.07628488540649414,18.0833333333,1200
2.81624,34.085668087005615,0.989347,1600.0,0.0,21.51705765724182,2.81594,151.684614323,20.27992296218872,0.0479882671472,-0.00928798131645,2200.0,0.8964369297027588,1200,275.5,1.39698386192e-09,19.76332378387451,16.714,0.0,5.82061343568e-11,511.4901714324951,0.00928798271343,16.7089,0.0076105678454,100.78180146217346,0.327043628179,517.413197229,0.989184,0.8967185020446777,0.07877850532531738,24.6666666667,1200
2.794,24.781975984573364,0.978448,1700.0,0.0,20.308751821517944,2.7952,180.82448135,14.777559757232666,0.0620077683744,-0.00897636637092,2600.0,0.6786267757415771,1200,399.75,1.16415321827e-09,18.583250761032104,16.3462,0.0,-4.83122919448e-09,596.3565125465393,0.00897636753507,16.3659,0.00699631217867,83.10136842727661,0.364951245956,619.213159986,0.979003,0.8491101264953613,0.07371926307678223,39.0833333333,1200
2.75672,23.36982035636902,0.960444,1600.0,0.0,16.611395120620728,2.75794,183.599125512,14.096122026443481,0.0763289003069,-0.0103027205914,2500.0,0.647411584854126,1200,612.666666667,1.68802216649e-09,15.412194728851318,15.7481,0.0,1.74623036031e-08,672.0779509544373,0.0103027222794,15.7673,0.00952662434429,73.95051145553589,0.414418348862,736.471014742,0.961067,0.7224462032318115,0.10040760040283203,36.1666666667,1200
2.70594,23.789620876312256,0.936531,1400.0,0.0,17.968963384628296,2.70873,141.220842615,14.222658157348633,0.0578603028584,-0.00965472310781,2400.0,0.6492750644683838,1200,638.083333333,-2.09547579288e-09,14.736015796661377,14.9683,0.0,-9.31324795062e-10,749.1526117324829,0.00965472101234,15.0102,0.00691492343321,75.12993216514587,0.444321450926,747.668371041,0.937865,0.7038276195526123,0.08012747764587402,23.4166666667,1200
2.67876,24.796822547912598,0.923726,1600.0,0.0,17.527955532073975,2.68561,163.592460265,14.752469062805176,0.0853346289496,-0.0100092124194,2600.0,0.6744832992553711,1200,760.0,-2.32830643654e-09,13.820648193359375,14.567,0.0,1.86264736968e-09,826.223552942276,0.0100092100911,14.6672,0.00685860496014,75.38824009895325,0.4761847549,820.21338687,0.926842,0.6474339962005615,0.07339906692504883,29.0833333333,1200
2.6538,24.145779371261597,0.912268,1700.0,0.0,14.994639158248901,2.65551,144.657617805,13.538593292236328,0.0949565552702,-0.00929456762969,2700.0,0.6305520534515381,1200,775.166666667,-1.65891833603e-09,13.500669479370117,14.208,0.0,1.49011611938e-08,898.4410526752472,0.00929456597078,14.2322,0.00654554087669,70.46652173995972,0.49445140516,836.610207258,0.913024,0.6635720729827881,0.07427191734313965,21.5833333333,1200
