Perplexity,Entropy,LossAfter,AveragePolicyStd,LossBefore,MeanKL,MinReturn,NumTrajs,ItrTime,MaxKL,ExplainedVariance,MaxReturn,Time,AverageReturn,StdReturn,TotalExecTime
14.1457,2.64941,-0.0840919,0.917354,-0.0168439,0.338284,17000.0,20,8.302030086517334,0.76562,0.949741806256,21400.0,8.302026271820068,19785.0,1155.54099884,8.171716690063477
13.9095,2.63257,-0.0797488,0.910758,-0.00342442,0.352659,11900.0,20,8.162856817245483,1.10887,0.761406222662,20400.0,16.467390775680542,16525.0,2307.78573529,8.036978960037231
13.8857,2.63086,-0.0268597,0.910055,-0.0125857,0.0399133,18500.0,20,8.29089903831482,0.267017,0.976459341431,22000.0,24.761472702026367,19920.0,778.845299145,8.218353986740112
13.7986,2.62457,-0.0145101,0.906882,-0.00123167,0.0155324,19000.0,20,8.251951217651367,0.187788,0.982065237457,21900.0,33.02755331993103,20135.0,637.397050511,8.193480014801025
13.7901,2.62395,-0.027162,0.906645,-0.00915911,0.0501758,17200.0,20,8.353256225585938,0.265003,0.959620509904,22500.0,41.385329246520996,20050.0,1389.06443335,8.256772756576538
13.7271,2.61937,-0.0195353,0.90442,-0.000318812,0.0550447,19100.0,20,9.430078983306885,0.340326,0.964943660213,23000.0,50.822975873947144,21575.0,1162.27148292,9.345975637435913
13.7249,2.61921,-0.00990846,0.904474,-0.0022479,0.0178606,19500.0,20,9.055771827697754,0.0601883,0.976168201454,23100.0,59.88537931442261,22085.0,913.386555627,9.009103059768677
