2ProcessExecTime,MeanKL,2MaxReturn,2Entropy,1NumTrajs,0MaxReturn,LossAfter,1AveragePolicyStd,0PolicyExecTime,1Perplexity,0Entropy,2PolicyExecTime,ComputeUpdatedDistTime,LossBefore,0NumTrajs,1MaxReturn,0AverageReturn,MeanKLBefore,1PolicyExecTime,0EnvExecTime,1StdReturn,1AverageReturn,0Perplexity,1Entropy,0MinReturn,2StdReturn,0ProcessExecTime,2AveragePolicyStd,0AveragePolicyStd,Time,2AverageReturn,1EnvExecTime,0StdReturn,2EnvExecTime,1MinReturn,2ExplainedVariance,2NumTrajs,dLoss,0ExplainedVariance,2Perplexity,1ExplainedVariance,ItrTime,1ProcessExecTime,2MinReturn
1.1675329208374023,0.0123518155888,2600.0,2.8396,1600,1900.0,-0.00529892742634,0.999568,27.864171028137207,17.0644,2.83788,45.288790464401245,0.3930795192718506,-0.00529892649502,1600,2300.0,42.625,0.0123518165201,46.50436758995056,33.308210611343384,350.272750867,103.0,17.0795,2.83699,0.0,385.296943117,1.1303234100341797,1.00087,1.0,238.3993194103241,121.125,35.942901611328125,208.286123818,35.22329115867615,0.0,0.194563203373,1600,9.31322574615e-10,0.0649243472353,17.1089,0.162695591252,238.3993275165558,1.1948790550231934,0.0
1.1621317863464355,0.0305852424353,2700.0,2.82847,1600,2200.0,-0.0043925056234,0.997913,27.63357162475586,17.0082,2.83788,45.14635181427002,0.09054040908813477,-0.00439250702038,1600,2800.0,62.3125,0.0305852405727,45.80423045158386,32.68565535545349,453.737839885,154.6875,17.0795,2.83369,0.0,410.490845665,1.1206824779510498,0.995317,1.0,473.9131350517273,126.875,35.30756497383118,259.226546372,35.18233132362366,0.0,0.184188529102,1600,-1.39698386192e-09,0.0974648851371,16.9196,0.194237180123,233.0890986919403,1.1756782531738281,0.0
1.1566753387451172,0.0321405492723,2700.0,2.84202,1600,1900.0,-0.000502064358443,1.00102,27.99531316757202,17.1139,2.83788,45.656601667404175,0.10075592994689941,-0.000502064474858,1600,2300.0,45.6875,0.032140545547,45.06994032859802,33.6780104637146,370.128271684,110.25,17.0795,2.83989,0.0,445.387081474,1.1367144584655762,1.00209,1.0,710.6787436008453,152.3125,35.06092715263367,217.758816914,35.64771604537964,0.0,0.207638433533,1600,-1.16415321827e-10,0.106301072308,17.1504,0.177127054692,234.32318663597107,1.1444120407104492,0.0
0.7989919185638428,0.0198839306831,2400.0,2.83718,1600,2400.0,-0.00260807410814,0.99823,21.861374378204346,17.0188,2.83788,30.352799892425537,0.10671019554138184,-0.00260807387531,1600,2600.0,47.1875,0.0198839344084,30.68333888053894,27.612265825271606,420.572229231,137.0,17.0795,2.83432,0.0,404.692548231,0.9474918842315674,0.999667,1.0,882.0579679012299,123.5625,24.33352565765381,235.567590818,24.161616325378418,0.0,0.215145830506,1600,2.32830643654e-10,0.0796173878181,17.0676,0.188288144433,168.85090565681458,0.8092172145843506,0.0
0.8032300472259521,0.0512165464461,2000.0,2.84171,1600,1900.0,-0.00731563521549,1.00069,20.212286949157715,17.1027,2.83788,30.396827459335327,0.08684039115905762,-0.00731563568115,1600,2700.0,47.3125,0.0512165762484,30.160934686660767,25.148406744003296,449.373691757,156.1875,17.0795,2.83924,0.0,278.822272021,0.8620200157165527,1.00193,1.0,1048.363789319992,73.625,24.041069746017456,219.129590297,24.0174617767334,0.0,0.103132997154,1600,-4.65661287308e-10,0.0687601216557,17.1451,0.203775343703,163.68298435211182,0.7974183559417725,0.0
0.7817294597625732,0.0209415741265,2400.0,2.83911,1600,2000.0,-0.00525703839958,0.998764,20.134702444076538,17.0369,2.83788,29.2238986492157,0.08915376663208008,-0.00525703653693,1600,2800.0,53.3125,0.0209415778518,29.654959678649902,25.061102151870728,465.178997806,161.0,17.0795,2.83538,0.0,371.748817878,0.8589510917663574,1.00065,1.0,1211.1458823680878,122.5625,23.440152883529663,240.159379046,23.388241052627563,0.0,0.175807293952,1600,1.86264514923e-09,0.086868574458,17.1006,0.216944228822,160.6622257232666,0.7888598442077637,0.0
0.7681162357330322,0.0237512756139,2400.0,2.84179,1600,2300.0,-0.00314289540984,0.998242,19.3677761554718,17.0193,2.83788,28.11624240875244,0.0883479118347168,-0.00314289610833,1600,2800.0,58.3125,0.0237512793392,29.366061449050903,23.999268293380737,403.785984271,126.9375,17.0795,2.83435,0.0,362.176445043,0.8324284553527832,1.00196,1.0,1369.1218702793121,104.6875,23.46267557144165,246.867175509,22.05847477912903,0.0,0.190929697109,1600,-6.98491930962e-10,0.121758542507,17.1464,0.169018346564,155.8717851638794,0.7916417121887207,0.0
0.7950623035430908,0.00666680047289,2400.0,2.8408,1600,2700.0,-0.0028852976393,0.997419,18.40673542022705,16.9912,2.83788,37.80355668067932,0.10166811943054199,-0.00288529647514,1600,2300.0,47.4375,0.00666680373251,29.893938302993774,22.47070598602295,349.168202438,100.5625,17.0795,2.8327,0.0,383.121207159,0.8165760040283203,1.00147,1.0,1535.8630440235138,116.375,23.257129669189453,232.014942609,22.97727131843567,0.0,0.177000746725,1600,1.16415321827e-09,0.0889572546105,17.1295,0.142872107404,164.48320031166077,0.8038885593414307,0.0
0.8375582695007324,0.00942464359105,2500.0,2.83962,1600,2400.0,-0.00450088921934,1.00046,21.145675659179688,17.095,2.83788,32.86194324493408,0.09293866157531738,-0.00450088828802,1600,2800.0,49.0625,0.00942464079708,32.714773178100586,23.731441736221313,372.62455447,107.5625,17.0795,2.83879,0.0,367.801614112,0.8548612594604492,1.00089,1.0,1708.1956820487976,114.6875,24.34226393699646,226.520685797,24.328628540039062,0.0,0.178400727903,1600,9.31322574615e-10,0.0771522448893,17.1093,0.168407565322,169.27469897270203,0.8391578197479248,0.0
0.8107116222381592,0.20091740787,2700.0,2.82495,1600,2500.0,-0.0133994873613,0.998105,21.934942722320557,17.0146,2.83788,30.702927112579346,0.1029207706451416,-0.0133994910866,1600,2600.0,48.5625,0.20091740787,30.891695261001587,24.376155138015747,452.122040874,154.8125,17.0795,2.83407,0.0,509.616261882,0.8764469623565674,0.993646,1.0,1875.457976102829,184.875,23.649665594100952,229.23336056,23.43298077583313,0.0,0.291577356588,1600,-3.72529029846e-09,0.121541552606,16.8602,0.159797782873,164.8182246685028,0.820941686630249,0.0
