LossAfter,MinReturn,MaxReturn,ExplainedVariance,ItrTime,MeanKL,Time,TotalExecTime,Perplexity,NumTrajs,LossBefore,AveragePolicyStd,MaxKL,Entropy,StdReturn,AverageReturn
-0.0,0.0,0.0,1,12.49772024154663,0.0,12.497712850570679,12.391142129898071,14.8902,20,-0.0,0.935103,0.0,2.7007,0.0,0.0
-0.0,0.0,0.0,1,12.356490850448608,0.0,24.85809874534607,12.305696249008179,14.8902,20,-0.0,0.935103,0.0,2.7007,0.0,0.0
-0.0,0.0,0.0,1,12.719590902328491,0.0,37.58193826675415,12.65271544456482,14.8902,20,-0.0,0.935103,0.0,2.7007,0.0,0.0
-0.0,0.0,0.0,1,11.970016717910767,0.0,49.557230710983276,11.915909767150879,14.8902,20,-0.0,0.935103,0.0,2.7007,0.0,0.0
-0.0,0.0,0.0,1,12.251527547836304,0.0,61.81841778755188,12.17448091506958,14.8902,20,-0.0,0.935103,0.0,2.7007,0.0,0.0
-0.0,0.0,0.0,1,12.367467880249023,0.0,74.20052194595337,12.289214849472046,14.8902,20,-0.0,0.935103,0.0,2.7007,0.0,0.0
-0.0,0.0,0.0,1,12.154803991317749,0.0,86.36355543136597,12.0911123752594,14.8902,20,-0.0,0.935103,0.0,2.7007,0.0,0.0
