MeanKL,0EnvExecTime,0Perplexity,0StdReturn,1MaxReturn,1ProcessExecTime,1NumTrajs,1AveragePolicyStd,1MinReturn,0AverageReturn,0ProcessExecTime,1Entropy,1AverageReturn,1PolicyExecTime,1ExplainedVariance,LossAfter,1EnvExecTime,ItrTime,0NumTrajs,0ExplainedVariance,Time,0PolicyExecTime,0AveragePolicyStd,0Entropy,1Perplexity,LossBefore,dLoss,MeanKLBefore,0MaxReturn,ComputeUpdatedDistTime,0MinReturn,1StdReturn
0.00645903265104,64.8242974281311,17.0795,459.125255241,4800.0,2.404146671295166,400,0.999791,0.0,102.0,2.4266717433929443,2.83744,101.0,84.51578187942505,0.0694901914546,-0.00293552689254,69.62396025657654,279.27209854125977,400,0.0576531190941,279.2720925807953,28.103965997695923,1.0,2.83788,17.0719,-4.07453515372e-11,0.0029355268518,8.7457052711e-10,4600.0,6.738037347793579,0.0,423.023640001
0.00662967888638,64.1984715461731,17.0578,475.387999428,3900.0,2.2773897647857666,400,0.999296,0.0,82.5,2.3823399543762207,2.83644,89.0,80.99267268180847,0.0831752953597,-0.00287597486749,68.45572185516357,265.56927132606506,400,0.058363320259,546.1009590625763,32.26129341125488,0.999366,2.83661,17.055,-4.07454070483e-11,0.00287597482675,-2.7590461027e-09,5000.0,0.4736330509185791,0.0,379.643253595
0.00723127974197,64.2089593410492,16.9706,752.106375455,5500.0,2.5053622722625732,400,0.997138,0.0,106.0,2.3631234169006348,2.8321,132.5,91.0300874710083,0.0527556654497,-0.00356121896766,74.3273823261261,284.8013291358948,400,0.0423678477882,832.1624159812927,33.16502666473389,0.996808,2.83148,16.981,6.98491986473e-10,0.00356121966615,-4.4994541426e-09,13900.0,0.48992180824279785,0.0,604.022971417
0.0068418495357,69.23521208763123,16.9559,656.911285867,17800.0,2.6902272701263428,400,0.997372,0.0,135.25,2.611884593963623,2.83257,224.0,92.93947577476501,0.0462429953815,-0.00268760463223,79.90676760673523,303.9098536968231,400,0.0791615043259,1137.4269270896912,36.12216854095459,0.996376,2.83062,16.989,2.91038512734e-11,0.00268760466133,-5.72763969586e-09,9400.0,0.483227014541626,0.0,1553.63251768
0.0096679776907,78.64736652374268,16.8519,401.101530164,18300.0,3.075146198272705,400,0.9939,0.0,72.75,2.7912545204162598,2.82555,136.5,103.63368010520935,0.051895852802,-0.00343732791953,87.68687677383423,329.0025668144226,400,0.0460954440619,1468.015288591385,30.968265056610107,0.99335,2.82447,16.8703,-2.28465080188e-10,0.00343732769106,6.81029510563e-10,4900.0,0.515404462814331,0.0,1018.24248094
0.00690947053954,80.81458330154419,16.8341,904.968196955,19500.0,2.7414255142211914,400,0.992644,0.0,197.25,3.003824472427368,2.82304,197.75,94.7245922088623,0.0326113581172,-0.00208675558679,83.8853600025177,317.53961300849915,400,0.0579191143837,1786.834903717041,32.75120759010315,0.992806,2.82341,16.8279,3.46335571333e-10,0.00208675593312,-1.01281405485e-09,10600.0,0.5395941734313965,0.0,1253.36344988
0.00939672347158,75.05739283561707,17.1258,456.798027032,4900.0,2.961918354034424,400,1.00177,0.0,96.75,2.7001845836639404,2.84067,82.0,102.1666944026947,0.0471218832532,-0.00312737375498,85.23940515518188,325.6192514896393,400,0.0393025094983,2113.897789955139,35.13421106338501,1.00172,2.84058,17.1273,0.0,0.00312737375498,1.76950520903e-09,6600.0,1.423515796661377,0.0,464.839757336
0.00914320908487,78.55214190483093,17.3135,706.009516579,9600.0,2.945233106613159,400,1.0072,0.0,149.25,2.8659963607788086,2.85153,251.0,100.40419173240662,0.0938306684863,-0.00373674253933,85.74232959747314,323.30970096588135,400,0.0562682437989,2438.7231600284576,32.56541180610657,1.00716,2.85149,17.3143,2.67755234651e-10,0.00373674280709,-8.80100614609e-09,9000.0,0.5516345500946045,0.0,1092.40514462
0.0065844617784,79.72825288772583,17.2372,947.546799636,5800.0,2.7105727195739746,400,1.00562,0.0,247.75,2.8545167446136475,2.84842,148.0,97.28133583068848,0.0637217808173,-0.00379964988679,81.19524955749512,321.53584575653076,400,0.0706798150156,2762.314721107483,34.84650993347168,1.00494,2.84707,17.2605,-7.9962769739e-10,0.00379964908716,5.26198018491e-09,7200.0,0.5218997001647949,0.0,591.350995602
0.00658931629732,85.39650416374207,17.1873,431.995298007,6900.0,3.025132656097412,400,1.00286,0.0,110.25,3.0644569396972656,2.84291,225.0,96.96980094909668,0.0648181118356,-0.0023704583291,86.01725840568542,334.17198300361633,400,0.0601501354401,3098.088203191757,34.60864329338074,1.00343,2.84417,17.1656,1.86264503821e-10,0.00237045851536,4.74974282128e-09,4200.0,0.5067317485809326,0.0,777.512057784
0.0064957276918,83.15601801872253,17.1551,357.245626285,3500.0,3.131983757019043,400,1.00123,0.0,99.25,3.187870740890503,2.84002,101.5,105.75236225128174,0.0459916969786,-0.00352062354796,89.64852094650269,346.6904547214508,400,0.0561582192943,3447.3643193244934,37.56580066680908,1.00236,2.8423,17.1162,7.13044207012e-11,0.00352062361926,-8.33535107603e-09,3100.0,0.7125256061553955,0.0,402.427322631
0.0068113678135,86.29400134086609,17.1028,530.423828179,9000.0,3.0211081504821777,400,1.00055,0.0,150.75,3.1297991275787354,2.8387,208.75,102.51872444152832,0.0590794588517,-0.00192720687483,88.82052087783813,345.78080129623413,400,0.0927590188331,3794.648604631424,38.251821756362915,1.00082,2.83924,17.0935,4.72937244922e-10,0.00192720734776,-2.22934515293e-09,3700.0,0.6098630428314209,0.0,807.092582979
